Date,Collector #,Volume (mL),NPOC measured (mg C/L),NPOC final (mg),TDN measured (mg N/L),TDN final (mg),Comments
26-Oct-23,6,"4,330",4.169,18.05177,0.3439,1.489087,Standing water in funnel
26-Oct-23,7,"4,150",12.37,51.3355,0.9773,4.055795,Standing water in funnel
26-Oct-23,8,550,24.9,13.695,3.323,1.82765,
26-Oct-23,9,"1,680",11.65,19.572,0.3346,0.562128,
26-Oct-23,10,"2,310",10.65,24.6015,0.6373,1.472163,
8-Nov-23,1,"6,720",3.342,22.45824,0.2528,1.698816,
8-Nov-23,2,"9,240",3.006,27.77544,0.3993,3.689532,
8-Nov-23,3,"3,200",6.599,21.1168,0.2214,0.70848,
8-Nov-23,4,"11,450",3.605,41.27725,0.1466,1.67857,
8-Nov-23,5,"2,420",2.635,6.3767,0.2838,0.686796,
8-Nov-23,6,"5,830",2.401,13.99783,0.2497,1.455751,
8-Nov-23,7,"6,680",6.429,42.94572,0.4496,3.003328,
8-Nov-23,8,"1,740",5.936,10.32864,1.484,2.58216,
8-Nov-23,9,"3,000",6.833,20.499,0.2578,0.7734,
8-Nov-23,10,"7,250",4.463,32.35675,0.1527,1.107075,
22-Nov-23,1,"1,980",4.949,9.79902,0.4821,0.954558,
22-Nov-23,2,"2,290",4.783,10.95307,1.696,3.88384,
22-Nov-23,3,"1,530",15.9,24.327,1.157,1.77021,
22-Nov-23,4,"6,390",2.846,18.18594,0.3227,2.062053,
22-Nov-23,5,610,4.678,2.85358,1.008,0.61488,
22-Nov-23,6,"2,240",6.195,13.8768,0.3482,0.779968,
22-Nov-23,7,"1,750",10.76,18.83,0.8815,1.542625,
22-Nov-23,8,520,13.02,6.7704,2.334,1.21368,
22-Nov-23,9,810,7.601,6.15681,0.4351,0.352431,
22-Nov-23,10,"1,940",8.476,16.44344,0.8753,1.698082,
7-Dec-23,1,"1,210",4.337,5.24777,0.3778,0.457138,
7-Dec-23,2,"1,510",5.789,8.74139,1.165,1.75915,
7-Dec-23,3,"2,000",9.272,18.544,1.91,3.82,
7-Dec-23,4,"3,840",2.82,10.8288,0.4783,1.836672,
7-Dec-23,5,490,5.882,2.88218,1.641,0.80409,
7-Dec-23,6,"1,440",4.617,6.64848,0.4635,0.66744,
7-Dec-23,7,"1,130",6.441,7.27833,0.6207,0.701391,
7-Dec-23,8,260,8.251,2.14526,2.916,0.75816,
7-Dec-23,9,460,6.265,2.8819,0.3876,0.178296,
7-Dec-23,10,"1,030",15.95,16.4285,1.189,1.22467,
21-Dec-23,1,"2,610",7.523,19.63503,1.205,3.14505,
21-Dec-23,2,"3,090",3.832,11.84088,0.5981,1.848129,
21-Dec-23,3,"2,360",5.172,12.20592,0.3425,0.8083,
21-Dec-23,4,"4,690",1.889,8.85941,0.2911,1.365259,
21-Dec-23,5,"1,090",3.81,4.1529,0.8588,0.936092,
21-Dec-23,6,"2,980",1.803,5.37294,0.1103,0.328694,
21-Dec-23,7,"1,520",7.197,10.93944,1.215,1.8468,
21-Dec-23,8,400,7.752,3.1008,0.9498,0.37992,
21-Dec-23,9,"1,100",5.93,6.523,0.4534,0.49874,
21-Dec-23,10,"2,400",20.16,48.384,0.2602,0.62448,
4-Jan-24,1,"1,930",2.871,5.54103,0.2794,0.539242,
4-Jan-24,2,"2,410",3.242,7.81322,0.6387,1.539267,
4-Jan-24,3,"1,750",3.028,5.299,0.221,0.38675,
4-Jan-24,4,"4,000",1.836,7.344,0.6597,2.6388,
4-Jan-24,5,660,3.291,2.17206,1.031,0.68046,
4-Jan-24,6,"2,360",1.942,4.58312,0.197,0.46492,
4-Jan-24,7,"1,300",5.427,7.0551,0.5737,0.74581,
4-Jan-24,8,300,5.257,1.5771,1.276,0.3828,
4-Jan-24,9,650,3.403,2.21195,0.7102,0.46163,
4-Jan-24,10,"1,600",10.37,16.592,0.2456,0.39296,
18-Jan-24,1,930,5.433,5.05269,0.6882,0.640026,
18-Jan-24,2,930,8.701,8.09193,3.349,3.11457,
18-Jan-24,3,"1,400",10.21,14.294,0.3244,0.45416,
18-Jan-24,4,"2,830",3.821,10.81343,0.5625,1.591875,
18-Jan-24,5,460,8.583,3.94818,1.387,0.63802,
18-Jan-24,6,"1,290",3.09,3.9861,0.5171,0.667059,
18-Jan-24,7,540,8.344,4.50576,0.7633,0.412182,
18-Jan-24,8,70,17.18,1.2026,3.322,0.23254,
18-Jan-24,9,320,7.365,2.3568,0.6254,0.200128,
18-Jan-24,10,730,28.41,20.7393,8.612,6.28676,
1-Feb-24,1,"2,440",3.632,8.86208,0.4215,1.02846,
1-Feb-24,2,"3,320",4.693,15.58076,1.456,4.83392,
1-Feb-24,3,"4,110",5.349,21.98439,0.2449,1.006539,
1-Feb-24,4,"6,600",1.617,10.6722,0.2544,1.67904,
1-Feb-24,5,"1,250",2.653,3.31625,0.4615,0.576875,
1-Feb-24,6,"3,350",2.67,8.9445,0.1944,0.65124,
1-Feb-24,7,"3,140",4.249,13.34186,0.3627,1.138878,
1-Feb-24,8,460,9.059,4.16714,2.122,0.97612,
1-Feb-24,9,750,3.605,2.70375,0.4487,0.336525,
1-Feb-24,10,"2,590",13.04,33.7736,0.269,0.69671,
15-Feb-24,1,"1,620",2.969,4.80978,0.5865,0.95013,
15-Feb-24,2,"2,400",4.6,11.04,0.8768,2.10432,
15-Feb-24,3,"3,270",3.026,9.89502,0.6289,2.056503,
15-Feb-24,4,"3,900",2.072,8.0808,0.6229,2.42931,
15-Feb-24,5,"1,000",2.994,2.994,0.6441,0.6441,
15-Feb-24,6,"3,000",2.256,6.768,0.6138,1.8414,
15-Feb-24,7,"2,470",5.075,12.53525,0.6838,1.688986,
15-Feb-24,8,380,7.927,3.01226,3.049,1.15862,
15-Feb-24,9,<600,5.076,#VALUE!,0.8139,#VALUE!,
15-Feb-24,10,"2,000",14.73,29.46,0.3283,0.6566,
29-Feb-24,1,"2,370",4.32,10.2384,0.5212,1.235244,
29-Feb-24,2,"2,890",5.576,16.11464,0.7209,2.083401,
29-Feb-24,3,"3,280",2.507,8.22296,0.2304,0.755712,
29-Feb-24,4,"4,380",2.498,10.94124,0.3077,1.347726,
29-Feb-24,5,970,2.747,2.66459,0.8107,0.786379,
29-Feb-24,6,"3,220",2.093,6.73946,0.287,0.92414,
29-Feb-24,7,"2,780",3.682,10.23596,0.4657,1.294646,
29-Feb-24,8,450,7.481,3.36645,1.331,0.59895,
29-Feb-24,9,"1,080",2.537,2.73996,0.5239,0.565812,
29-Feb-24,10,"2,890",12.15,35.1135,0.3947,1.140683,
14-Mar-24,1,"1,040",3.339,3.47256,0.4652,0.483808,
14-Mar-24,2,"2,370",4.833,11.45421,0.7362,1.744794,
14-Mar-24,3,"2,250",4.337,9.75825,0.6572,1.4787,piece of lid rim broke 
14-Mar-24,4,"2,640",2.997,7.91208,0.4218,1.113552,
14-Mar-24,5,"1,060",5.64,5.9784,0.6852,0.726312,
14-Mar-24,6,"2,350",2.783,6.54005,0.3151,0.740485,
14-Mar-24,7,"1,970",4.659,9.17823,0.2224,0.438128,
14-Mar-24,8,400,5.305,2.122,1.186,0.4744,
14-Mar-24,9,"1,390",3.061,4.25479,0.5746,0.798694,
14-Mar-24,10,"1,410",7.131,10.05471,0.4328,0.610248,Glue came off lid
28-Mar-24,1,"1,850",5.065,9.37025,0.7658,1.41673,
28-Mar-24,2,"3,070",4.072,12.50104,0.818,2.51126,
28-Mar-24,3,"2,380",4.335,10.3173,0.6699,1.594362,
28-Mar-24,4,"2,025",2.506,5.07465,0.564,1.1421,
28-Mar-24,5,"1,040",3.468,3.60672,0.7866,0.818064,
28-Mar-24,6,"2,490",2.699,6.72051,0.523,1.30227,
28-Mar-24,7,"1,860",4.368,8.12448,0.8732,1.624152,
28-Mar-24,8,410,5.478,2.24598,1.623,0.66543,
28-Mar-24,9,"<1,000",3.124,#VALUE!,1.096,#VALUE!,
28-Mar-24,10,"1,430",6.913,9.88559,0.7542,1.078506,Glue came off lid
12-Apr-24,1,"1,610",7.376,11.87536,0.8599,1.384439,
12-Apr-24,2,"1,840",13.27,24.4168,1.4,2.576,
12-Apr-24,3,"1,420",90.4,128.368,0.3369,0.478398,
12-Apr-24,4,"1,360",4.036,5.48896,0.7228,0.983008,
12-Apr-24,5,"1,090",5.942,6.47678,0.9294,1.013046,
12-Apr-24,6,"2,250",3.678,8.2755,0.47,1.0575,
12-Apr-24,7,"1,670",65.88,110.0196,0.543,0.90681,
12-Apr-24,8,240,10.97,2.6328,1.856,0.44544,
12-Apr-24,9,690,4.289,2.95941,1.369,0.94461,
12-Apr-24,10,"1,700",9.267,15.7539,0.9311,1.58287,
25-Apr-24,1,"6,170",2.855,17.61535,0.5388,3.324396,
25-Apr-24,2,"7,200",3.918,28.2096,0.6317,4.54824,
25-Apr-24,3,"4,140",2.22,9.1908,0.254,1.05156,
25-Apr-24,4,"7,320",1.212,8.87184,0.2285,1.67262,level collector
25-Apr-24,5,"4,620",2.113,9.76206,0.3336,1.541232,
25-Apr-24,6,"8,000",1.741,13.928,0.1567,1.2536,"funnel clogged, >2,000 in funnel"
25-Apr-24,7,"6,330",3.587,22.70571,0.5391,3.412503,
25-Apr-24,8,980,5.774,5.65852,1.247,1.22206,
25-Apr-24,9,"1,890",2.619,4.94991,0.466,0.88074,
25-Apr-24,10,"5,900",4.404,25.9836,0.34,2.006,glue dettached from funnel
9-May-24,1,"8,000",1.649,13.192,0.2931,2.3448,
9-May-24,2,"7,680",3.19,24.4992,2.063,15.84384,
9-May-24,3,"5,400",1.649,8.9046,0.2281,1.23174,
9-May-24,4,"7,120",2.572,18.31264,0.1032,0.734784,
9-May-24,5,"7,480",1.515,11.3322,0.2008,1.501984,
9-May-24,6,"6,980",9.507,66.35886,0.1754,1.224292,
9-May-24,7,"9,800",3.012,29.5176,0.4295,4.2091,
9-May-24,8,"7,680",3.735,28.6848,1.155,8.8704,
9-May-24,9,"2,700",1.82,4.914,0.3381,0.91287,
9-May-24,10,"14,300",4.057,58.0151,0.2506,3.58358,
23-May-24,1,~2450,5.539,#VALUE!,0.2841,#VALUE!,
23-May-24,2,"2,360",4.749,11.20764,0.8033,1.895788,water accumulated in funnel
23-May-24,3,"1,620",4.52,7.3224,0.8137,1.318194,
23-May-24,4,"5,240",2.166,11.34984,0.3567,1.869108,
23-May-24,5,"2,120",2.326,4.93112,0.546,1.15752,
23-May-24,6,"4,000",6.626,26.504,0.2632,1.0528,
23-May-24,7,"3,540",4.409,15.60786,0.814,2.88156,
23-May-24,8,650,5.25,3.4125,1.03,0.6695,
23-May-24,9,"1,300",3.199,4.1587,0.6028,0.78364,
23-May-24,10,"7,820",7.224,56.49168,0.44,3.4408,removed from field for maintenance 
6-Jun-24,1,"5,200",9.379,48.7708,0.7986,4.15272,
6-Jun-24,2,"5,320",4.55,24.206,1.361,7.24052,
6-Jun-24,3,"3,740",2.487,9.30138,0.2682,1.003068,
6-Jun-24,4,"8,920",1.81,16.1452,0.2264,2.019488,
6-Jun-24,5,"2,060",4.661,9.60166,1.771,3.64826,
6-Jun-24,6,"6,600",1.577,10.4082,0.1181,0.77946,
6-Jun-24,7,"4,960",4.211,20.88656,0.6056,3.003776,
6-Jun-24,8,"1,180",5.656,6.67408,0.9833,1.160294,
6-Jun-24,9,"2,240",3.496,7.83104,0.473,1.05952,
6-Jun-24,10,"10,260",5.17,53.0442,0.405,4.1553,
21-Jun-24,1,850,9.032,7.6772,4.211,3.57935,
21-Jun-24,2,910,6.837,6.22167,3.408,3.10128,
21-Jun-24,3,"1,280",5.467,6.99776,0.5804,0.742912,
21-Jun-24,4,"1,460",2.445,3.5697,0.603,0.88038,
21-Jun-24,5,340,6.109,2.07706,1.972,0.67048,
21-Jun-24,6,"1,240",4.842,6.00408,0.4826,0.598424,
21-Jun-24,7,840,8.909,7.48356,2.884,2.42256,
21-Jun-24,8,190,14.01,2.6619,3.374,0.64106,
21-Jun-24,9,340,10.96,3.7264,5.715,1.9431,
21-Jun-24,10,N/A,N/A,N/A,N/A,N/A,
5-Jul-24,1,"3,360",2.85,9.576,0.8159,2.741424,
5-Jul-24,2,"3,380",3.39,11.4582,0.8652,2.924376,
5-Jul-24,3,"3,420",3.405,11.6451,0.4334,1.482228,
5-Jul-24,4,"4,040",2.207,8.91628,0.4617,1.865268,
5-Jul-24,5,"1,200",5.682,6.8184,0.5601,0.67212,
5-Jul-24,6,"3,940",2.154,8.48676,0.2001,0.788394,
5-Jul-24,7,820,8.678,7.11596,1.363,1.11766,
5-Jul-24,8,"4,520",7.986,36.09672,1.408,6.36416,
5-Jul-24,9,"2,075",4.179,8.671425,1.026,2.12895,
5-Jul-24,10,"4,000",4.255,17.02,0.3607,1.4428,
19-Jul-24,1,"2,220",3.658,8.12076,1.195,2.6529,
19-Jul-24,2,"2,000",5.509,11.018,1.087,2.174,
19-Jul-24,3,"2,680",4.198,11.25064,0.9716,2.603888,
19-Jul-24,4,"2,650",7.493,19.85645,0.5641,1.494865,
19-Jul-24,5,~800,3.468,#VALUE!,0.9031,#VALUE!,
19-Jul-24,6,"2,700",1.951,5.2677,0.432,1.1664,
19-Jul-24,7,"2,400",7.317,17.5608,0.9696,2.32704,
19-Jul-24,8,550,7.283,4.00565,0.7459,0.410245,
19-Jul-24,9,"1,210",6.458,7.81418,0.8709,1.053789,
19-Jul-24,10,"4,000",10.64,42.56,1.072,4.288,
2-Aug-24,1,"2,360",4.318,10.19048,0.4681,1.104716,
2-Aug-24,2,"3,000",4.219,12.657,1.001,3.003,
2-Aug-24,3,"3,340",2.248,7.50832,0.3926,1.311284,
2-Aug-24,4,"3,720",3.64,13.5408,0.9129,3.395988,
2-Aug-24,5,"1,120",N/A,N/A,N/A,N/A,
2-Aug-24,6,"3,440",1.603,5.51432,0.225,0.774,
2-Aug-24,7,"3,840",6.729,25.83936,1.107,4.25088,
2-Aug-24,8,"1,600",4.76,7.616,0.9439,1.51024,
2-Aug-24,9,"1,120",4.024,4.50688,0.7437,0.832944,
2-Aug-24,10,"5,320",5.599,29.78668,0.4778,2.541896,
20-Aug-24,1,"6,440",1.944,12.51936,0.367,2.36348,
20-Aug-24,2,"8,340",2.153,17.95602,0.4157,3.466938,
20-Aug-24,3,"6,810",2.071,14.10351,0.5172,3.522132,
20-Aug-24,4,"8,880",1.343,11.92584,0.3061,2.718168,
20-Aug-24,5,"3,200",2.928,9.3696,0.3742,1.19744,
20-Aug-24,6,"7,300",1.53,11.169,0.2462,1.79726,
20-Aug-24,7,"7,800",3.885,30.303,0.4872,3.80016,
20-Aug-24,8,"3,120",5.783,18.04296,1.474,4.59888,
20-Aug-24,9,"3,300",2.064,6.8112,0.3888,1.28304,
20-Aug-24,10,"11,200",3.911,43.8032,0.2825,3.164,
12-Sep-24,1,"6,900",13.96,96.324,1.502,10.3638,
12-Sep-24,2,N/A,N/A,N/A,N/A,N/A,
12-Sep-24,3,"~4,100",2.918,#VALUE!,0.766,#VALUE!,
12-Sep-24,4,"4,760",3.694,17.58344,1.063,5.05988,
12-Sep-24,5,"1,560",12.51,19.5156,4.291,6.69396,
12-Sep-24,6,"5,000",6.044,30.22,0.9312,4.656,
12-Sep-24,7,"6,200",5.324,33.0088,0.9509,5.89558,
12-Sep-24,8,"1,960",25.45,49.882,15.97,31.3012,
12-Sep-24,9,"1,260",4.425,5.5755,1.263,1.59138,
12-Sep-24,10,"5,060",14.15,71.599,3.836,19.41016,
