Bag number,,,Volume,Raw,Dilution,Volume,Raw,Dilution,Volume,,
1,8/9/2016,1-30,,5.8020,11.6040,,1.7570,3.5140,,,
1,8/9/2016,2-10,,11.8800,23.7600,,2.9300,5.8600,,,
1,8/9/2016,2-30,,0.9832,1.9664,,0.6421,1.2842,,,
1,8/9/2016,3-10,,1.0570,2.1140,,1.6700,3.3400,,,
1,8/9/2016,3-30,,0.5729,1.1458,,0.4077,0.8154,,,
1,8/9/2016,4-10,,5.2730,10.5460,,1.6270,3.2540,,,
1,8/9/2016,4-30,,1.3490,2.6980,,0.7210,1.4420,,,
1,8/9/2016,5-10,,1.6750,3.3500,,2.1660,4.3320,,,
1,8/9/2016,5-30,,0.4634,0.9268,,0.3232,0.6464,,,
1,8/9/2016,6-10,,5.9340,11.8680,,1.6910,3.3820,,,
1,8/9/2016,6-30,,0.8327,1.6654,,0.2847,0.5694,,,
1,8/25/2016,1-10,,1.0200,2.0400,,0.6593,1.3186,,,
1,8/25/2016,1-30,,1.0900,2.1800,,0.3089,0.6178,,,
1,8/25/2016,2-10,,2.0880,4.1760,,3.9050,7.8100,,,
1,8/25/2016,2-30,,0.5628,1.1256,,0.0659,0.1318,,,
1,8/25/2016,3-10,,0.5431,1.0862,,0.4270,0.8540,,,
1,8/25/2016,3-30,,0.5421,1.0842,,0.1024,0.2048,,,
1,8/25/2016,4-10,,2.6000,5.2000,,0.2987,0.5974,,,
1,8/25/2016,4-30,,1.7120,3.4240,,0.2553,0.5106,,,
1,8/25/2016,5-10,,,,,,,,,
1,8/25/2016,5-30,,0.5786,1.1572,,0.2001,0.4002,,,
1,8/25/2016,6-10,,0.7962,1.5924,,0.2073,0.4146,,,
1,8/25/2016,6-30,,0.5035,1.0070,,0.0557,0.1115,,,
2,9/7/2016,1-10,,1.1260,2.2520,,1.3620,2.7240,,,
2,9/7/2016,1-30,,0.4245,0.8490,,0.6135,1.2270,,,
2,9/7/2016,2-10,,1.1290,2.2580,,2.2110,4.4220,,,
2,9/7/2016,2-30,,0.4841,0.9682,,0.2853,0.5706,,,
2,9/7/2016,3-10,,0.7396,1.4792,,0.7275,1.4550,,,
2,9/7/2016,3-30,,0.4354,0.8708,,0.2278,0.4556,,,
2,9/7/2016,4-10,,2.1550,4.3100,,0.7251,1.4502,,,
2,9/7/2016,4-30,,0.8457,1.6914,,0.8808,1.7616,,,
2,9/7/2016,5-10,,1.2040,2.4080,,1.3840,2.7680,,,
2,9/7/2016,5-30,,0.5384,1.0768,,0.3884,0.7768,,,
2,9/7/2016,6-10,,0.7647,1.5294,,0.4817,0.9634,,,
2,9/7/2016,6-30,,0.4599,0.9198,,0.2920,0.5840,,,
2,9/21/2016,1-10,,0.6264,1.2528,,0.5391,1.0782,,,
2,9/21/2016,1-30,,0.3337,0.6674,,0.2279,0.4558,,,
2,9/21/2016,2-10,,0.8684,1.7368,,0.1913,0.3826,,,
2,9/21/2016,2-30,,0.3916,0.7832,,0.0554,0.1108,,,
2,9/21/2016,3-10,,0.5774,1.1548,,0.2128,0.4256,,,
2,9/21/2016,3-30,,0.5587,1.1174,,0.0566,0.1131,,,
2,9/21/2016,4-10,,2.0850,4.1700,,0.2646,0.5292,,,
2,9/21/2016,4-30,,0.5271,1.0542,,0.0985,0.1970,,,
2,9/21/2016,5-10,,0.5011,1.0022,,0.2954,0.5908,,,
2,9/21/2016,5-30,,,,,,,,,
2,9/21/2016,6-10,,0.6680,1.3360,,0.0819,0.1638,,,
2,9/21/2016,6-30,,0.2791,0.5582,,0.0580,0.1161,,,
2,9/27/2016,1-10,,1.2000,2.4000,,0.4840,0.9680,,,
2,9/27/2016,1-30,,0.6587,1.3174,,0.2503,0.5006,,,
2,9/27/2016,2-10,,1.2540,2.5080,,0.2153,0.4306,,,
2,9/27/2016,2-30,,0.6564,1.3128,,0.0968,0.1935,,,
2,9/27/2016,3-10,,0.7236,1.4472,,0.4148,0.8296,,,
2,9/27/2016,3-30,,0.5899,1.1798,,0.0804,0.1609,,,
2,9/27/2016,4-10,,2.7330,5.4660,,0.4014,0.8028,,,
2,9/27/2016,4-30,,1.0610,2.1220,,0.0536,0.1073,,,
2,9/27/2016,5-10,,1.3690,2.7380,,0.3219,0.6438,,,
2,9/27/2016,5-30,,,,,,,,,
2,9/27/2016,6-10,,0.9337,1.8674,,0.0888,0.1777,,,
2,9/27/2016,6-30,,0.6735,1.3470,,0.0398,0.0795,,,
2,10/12/2016,1-10,,0.6605,1.3210,,0.3300,0.6600,,,
2,10/12/2016,1-30,,0.4034,0.8068,,0.2140,0.4280,,,
2,10/12/2016,2-10,,0.9079,1.8158,,0.2356,0.4712,,,
2,10/12/2016,2-30,,0.6254,1.2508,,0.1064,0.2128,,,
2,10/12/2016,3-10,,0.4313,0.8626,,1.6610,3.3220,,,
2,10/12/2016,3-30,,0.5106,1.0212,,0.0757,0.1513,,,
2,10/12/2016,4-10,,,,,,,,,
2,10/12/2016,4-30,,0.8412,1.6824,,0.2996,0.5992,,,
2,10/12/2016,5-10,,0.8471,1.6942,,0.3220,0.6440,,,
2,10/12/2016,5-30,,,,,,,,,
2,10/12/2016,6-10,,0.7112,1.4224,,0.0742,0.1484,,,
2,10/12/2016,6-30,,0.7676,1.5352,,0.0446,0.0893,,,
2,10/25/2016,1-10,,0.6903,1.3806,,0.2535,0.5070,,,
2,10/25/2016,1-30,,0.3367,0.6734,,0.2222,0.4444,,,
2,10/25/2016,2-10,,0.9641,1.9282,,0.2821,0.5642,,,
2,10/25/2016,2-30,,0.4820,0.9640,,0.0834,0.1667,,,
2,10/25/2016,3-10,,0.4999,0.9998,,0.2169,0.4338,,,
2,10/25/2016,3-30,,0.3840,0.7680,,0.1531,0.3062,,,
2,10/25/2016,4-10,,1.5890,3.1780,,0.8227,1.6454,,,
2,10/25/2016,4-30,,0.5930,1.1860,,0.2215,0.4430,,,
2,10/25/2016,5-10,,0.5340,1.0680,,0.2441,0.4882,,,
2,10/25/2016,5-30,,,,,,,,,
2,10/25/2016,6-10,,0.5194,1.0388,,0.0748,0.1496,,,
2,10/25/2016,6-30,,0.3526,0.7052,,0.0436,0.0873,,,
2,11/8/2016,1-10,,0.5388,1.0776,,0.2858,0.5716,,,
2,11/8/2016,1-30,,0.3059,0.6118,,0.3302,0.6604,,,
2,11/8/2016,2-10,,0.6279,1.2558,,0.2758,0.5516,,,
2,11/8/2016,2-30,,0.3602,0.7204,,0.2184,0.4368,,,
2,11/8/2016,3-10,,0.7621,1.5242,,0.1212,0.2424,,,
2,11/8/2016,3-30,,0.4415,0.8830,,0.1601,0.3202,,,
2,11/8/2016,4-10,,1.8590,3.7180,,0.4609,0.9218,,,
2,11/8/2016,4-30,,0.6558,1.3116,,0.6998,1.3996,,,
2,11/8/2016,5-10,,0.7621,1.5242,,0.1271,0.2542,,,
2,11/8/2016,5-30,,,,,,,,,
2,11/8/2016,6-10,,0.7562,1.5124,,0.1038,0.2076,,,
2,11/8/2016,6-30,,0.2958,0.5916,,0.1154,0.2308,,,
2,11/22/2016,1-10,,0.2463,0.4926,,0.3008,0.6016,,,
2,11/22/2016,1-30,,0.5190,1.0380,,0.3213,0.6426,,,
2,11/22/2016,2-10,,1.0610,2.1220,,0.1999,0.3998,,,
2,11/22/2016,2-30,,0.2419,0.4838,,0.2894,0.5788,,,
2,11/22/2016,3-10,,0.7866,1.5732,,0.1948,0.3896,,,
2,11/22/2016,3-30,,0.3011,0.6022,,0.1090,0.2180,,,
2,11/22/2016,4-10,,2.0270,4.0540,,0.2053,0.4106,,,
2,11/22/2016,4-30,,0.4897,0.9794,,0.5614,1.1228,,,
2,11/22/2016,5-10,,0.5088,1.0176,,0.1990,0.3980,,,
2,11/22/2016,5-30,,0.4597,0.9194,,0.3818,0.7636,,,
2,11/22/2016,6-10,,0.4324,0.8648,,0.1390,0.2780,,,
2,11/22/2016,6-30,,0.2342,0.4684,,0.1410,0.2820,,,
3,12/6/2016,1-10,,0.6092,1.2184,,0.3883,0.7766,,,
3,12/6/2016,1-30,,0.3758,0.7516,,0.3299,0.6598,,,
3,12/6/2016,2-10,,1.7000,3.4000,,0.6631,1.3262,,,
3,12/6/2016,2-30,,0.4825,0.9650,,0.2178,0.4356,,,
3,12/6/2016,3-10,,0.8126,1.6252,,0.4766,0.9532,,,
3,12/6/2016,3-30,,0.4520,0.9040,,0.1038,0.2076,,,
3,12/6/2016,4-10,,0.7376,1.4752,,0.4850,0.9700,,,
3,12/6/2016,4-30,,1.5160,3.0320,,0.9178,1.8356,,,
3,12/6/2016,5-10,,0.7572,1.5144,,0.2869,0.5738,,,
3,12/6/2016,5-30,,1.1440,2.2880,,0.9285,1.8570,,,
3,12/6/2016,6-10,,0.4981,0.9962,,0.2111,0.4222,,,
3,12/6/2016,6-30,,0.3981,0.7962,,0.0809,0.1617,,,
3,12/20/2016,1-10,,0.7925,1.5850,,0.2271,0.4542,,,
3,12/20/2016,1-30,,0.5449,1.0898,,0.2961,0.5922,,,
3,12/20/2016,2-10,,2.6160,5.2320,,0.4628,0.9256,,,
3,12/20/2016,2-30,,0.6001,1.2002,,0.1377,0.2754,,,
3,12/20/2016,3-10,,0.4758,0.9516,,0.2895,0.5790,,,
3,12/20/2016,3-30,,0.6416,1.2832,,0.1186,0.2372,,,
3,12/20/2016,4-10,,1.3340,2.6680,,0.6469,1.2938,,,
3,12/20/2016,4-30,,0.5873,1.1746,,0.3298,0.6596,,,
3,12/20/2016,5-10,,0.6573,1.3146,,0.5504,1.1008,,,
3,12/20/2016,5-30,,,,,,,,,
3,12/20/2016,6-10,,0.6704,1.3408,,0.1038,0.2076,,,
3,12/20/2016,6-30,,0.4251,0.8502,,0.0524,0.1047,,,
3,1/4/2017,1-10,,0.6875,1.3750,,0.0897,0.1795,,,
3,1/4/2017,1-30,,0.4326,0.8652,,0.2825,0.5650,,,
3,1/4/2017,2-10,,2.2170,4.4340,,0.7400,1.4800,,,
3,1/4/2017,2-30,,0.6652,1.3304,,0.1154,0.2308,,,
3,1/4/2017,3-10,,0.6396,1.2792,,0.1697,0.3394,,,
3,1/4/2017,3-30,,0.4015,0.8030,,0.0903,0.1805,,,
3,1/4/2017,4-10,,1.1350,2.2700,,0.6244,1.2488,,,
3,1/4/2017,4-30,,,,,,,,,
3,1/4/2017,5-10,,0.5392,1.0784,,0.5981,1.1962,,,
3,1/4/2017,5-30,,,,,,,,,
3,1/4/2017,6-10,,0.5088,1.0176,,0.0676,0.1351,,,
3,1/4/2017,6-30,,0.3353,0.6706,,0.0526,0.1053,,,
3,1/18/2017,1-10,,0.6329,1.2658,,0.0768,0.1535,,,
3,1/18/2017,1-30,,0.3532,0.7064,,0.2658,0.5316,,,
3,1/18/2017,2-10,,2.1270,4.2540,,0.6193,1.2386,,,
3,1/18/2017,2-30,,0.6481,1.2962,,0.1103,0.2206,,,
3,1/18/2017,3-10,,0.6112,1.2224,,0.1224,0.2448,,,
3,1/18/2017,3-30,,0.3191,0.6382,,0.0896,0.1793,,,
3,1/18/2017,4-10,,1.0980,2.1960,,0.3257,0.6514,,,
3,1/18/2017,4-30,,0.6447,1.2894,,0.1548,0.3096,,,
3,1/18/2017,5-10,,0.4389,0.8778,,0.5667,1.1334,,,
3,1/18/2017,5-30,,,,,,,,,
3,1/18/2017,6-10,,0.6727,1.3454,,0.0650,0.1300,,,
3,1/18/2017,6-30,,0.4008,0.8016,,0.0468,0.0936,,,
3,1/31/2017,1-10,,1.5090,3.0180,,0.8189,1.6378,,,
3,1/31/2017,1-30,,0.8562,1.7124,,0.2560,0.5120,,,
3,1/31/2017,2-10,,,,,,,,,
3,1/31/2017,2-30,,,,,,,,,
3,1/31/2017,3-10,,0.7459,1.4918,,1.0880,2.1760,,,
3,1/31/2017,3-30,,0.6579,1.3158,,0.1799,0.3598,,,
3,1/31/2017,4-10,,,,,,,,,
3,1/31/2017,4-30,,,,,,,,,
3,1/31/2017,5-10,,0.8205,1.6410,,0.7334,1.4668,,,
3,1/31/2017,5-30,,,,,,,,,
3,1/31/2017,6-10,,0.6802,1.3604,,0.0638,0.1275,,,
3,1/31/2017,6-30,,0.5269,1.0538,,0.0317,0.0635,,,
3,2/14/2017,1-10,,,,,,,,,
3,2/14/2017,1-30,,,,,,,,,
3,2/14/2017,2-10,,,,,,,,,
3,2/14/2017,2-30,,,,,,,,,
3,2/14/2017,3-10,,,,,,,,,
3,2/14/2017,3-30,,0.6311,1.2622,,0.3056,0.6112,,,
3,2/14/2017,4-10,,,,,,,,,
3,2/14/2017,4-30,,,,,,,,,
3,2/14/2017,5-10,,1.9560,3.9120,,0.8182,1.6364,,,
3,2/14/2017,5-30,,,,,,,,,
3,2/14/2017,6-10,,2.3180,4.6360,,0.5482,1.0964,,,
3,2/14/2017,6-30,,0.5692,1.1384,,0.0818,0.1636,,,
3,2/28/2017,1-10,,,,,,,,,
3,2/28/2017,1-30,,,,,,,,,
3,2/28/2017,2-10,,,,,,,,,
3,2/28/2017,2-30,,,,,,,,,
3,2/28/2017,3-10,,,,,,,,,
3,2/28/2017,3-30,,2.1200,4.2400,,0.5092,1.0184,,,
3,2/28/2017,4-10,,,,,,,,,
3,2/28/2017,4-30,,,,,,,,,
3,2/28/2017,5-10,,2.3790,4.7580,,0.7104,1.4208,,,
3,2/28/2017,5-30,,,,,,,,,
3,2/28/2017,6-10,,,,,,,,,
3,2/28/2017,6-30,,,,,,,,,
4,3/15/2017,1-10,,,,,,,,,
4,3/15/2017,1-30,,1.1740,2.3480,,0.9929,1.9858,,,
4,3/15/2017,2-10,,,,,,,,,
4,3/15/2017,2-30,,,,,,,,,
4,3/15/2017,3-10,,,,,,,,,
4,3/15/2017,3-30,,0.6313,1.2626,,0.2706,0.5412,,,
4,3/15/2017,4-10,,,,,,,,,
4,3/15/2017,4-30,,,,,,,,,
4,3/15/2017,5-10,,1.0210,2.0420,,0.5503,1.1006,,,
4,3/15/2017,5-30,,,,,,,,,
4,3/15/2017,6-10,,,,,,,,,
4,3/15/2017,6-30,,0.8430,1.6860,,0.1912,0.3824,,,
4,3/28/2017,1-10,,1.1770,2.3540,,0.1392,0.2784,,,
4,3/28/2017,1-30,,0.3949,0.7898,,0.1998,0.3996,,,
4,3/28/2017,2-10,,1.3470,2.6940,,0.5977,1.1954,,,
4,3/28/2017,2-30,,,,,,,,,
4,3/28/2017,3-10,,,,,,,,,
4,3/28/2017,3-30,,0.3112,0.6224,,0.0342,0.0683,,,
4,3/28/2017,4-10,,,,,,,,,
4,3/28/2017,4-30,,0.6828,1.3656,,0.1159,0.2318,,,
4,3/28/2017,5-10,,0.4087,0.8174,,0.2052,0.4104,,,
4,3/28/2017,5-30,,,,,,,,,
4,3/28/2017,6-10,,0.5441,1.0882,,0.0736,0.1472,,,
4,3/28/2017,6-30,,0.6504,1.3008,,0.0516,0.1032,,,
4,4/11/2017,1-10,,0.6195,1.2390,,0.0706,0.1412,,,
4,4/11/2017,1-30,,0.6364,1.2728,,0.2319,0.4638,,,
4,4/11/2017,2-10,,0.7118,1.4236,,0.6251,1.2502,,,
4,4/11/2017,2-30,,,,,,,,,
4,4/11/2017,3-10,,1.2450,2.4900,,0.3290,0.6580,,,
4,4/11/2017,3-30,,0.4240,0.8480,,0.0628,0.1257,,,
4,4/11/2017,4-10,,3.4800,6.9600,,0.8874,1.7748,,,
4,4/11/2017,4-30,,0.6145,1.2290,,0.0962,0.1923,,,
4,4/11/2017,5-10,,0.4068,0.8136,,0.0922,0.1845,,,
4,4/11/2017,5-30,,0.6139,1.2278,,0.2334,0.4668,,,
4,4/11/2017,6-10,,0.4940,0.9880,,0.0557,0.1114,,,
4,4/11/2017,6-30,,0.2751,0.5502,,0.0691,0.1381,,,
4,4/26/2017,1-10,11,1.1340,2.2680,0.0249,0.3834,0.7668,0.0084348,,
4,4/26/2017,1-30,29,0.5887,1.1774,0.0341,0.2271,0.4542,0.0131718,,
4,4/26/2017,1-50,30,0.5092,1.0184,0.0306,0.3777,0.7554,0.022662,Greater than,
4,4/26/2017,2-10,1,,,,,,,,
4,4/26/2017,2-30,2,,,,,,,,
4,4/26/2017,2-50,30,0.9462,1.8924,0.0568,0.2577,0.5154,0.015462,Greater than,
4,4/26/2017,3-10,1,,,,,,,,
4,4/26/2017,3-30,29,0.5224,1.0448,0.0303,0.1037,0.2074,0.0060146,,
4,4/26/2017,3-50,30,0.7937,1.5874,0.0476,0.1265,0.2530,0.00759,Greater than,
4,4/26/2017,4-10,3,,,,,,,,
4,4/26/2017,4-30,16,0.8455,1.6910,0.0271,0.1252,0.2504,0.0040064,,
4,4/26/2017,4-50,14,2.1940,4.3880,0.0614,0.4194,0.8388,0.0117432,,
4,4/26/2017,5-10,14,0.4968,0.9936,0.0139,0.1002,0.2004,0.0028056,,
4,4/26/2017,5-30,11,0.7015,1.4030,0.0154,0.2199,0.4398,0.0048378,,
4,4/26/2017,5-50,30,0.6690,1.3380,0.0401,0.2310,0.4620,0.01386,Greater than,
4,4/26/2017,6-10,11,1.4210,2.8420,0.0313,0.1839,0.3678,0.0040458,,
4,4/26/2017,6-30,30,0.4172,0.8344,0.0250,0.0527,0.1054,0.003162,Greater than,
4,4/26/2017,6-50,0,,,,,,,,
4,5/3/2017,1-10,20,0.5169,1.0338,0.0207,0.1599,0.3198,0.006396,,
4,5/3/2017,1-30,29,0.4322,0.8644,0.0251,0.1866,0.3732,0.0108228,,
4,5/3/2017,1-50,30,0.6648,1.3296,0.0399,0.2465,0.4930,0.01479,Greater than,
4,5/3/2017,2-10,11,1.2230,2.4460,0.0269,0.3288,0.6576,0.0072336,,
4,5/3/2017,2-30,3,1.5560,3.1120,0.0093,0.3775,0.7550,0.002265,,
4,5/3/2017,2-50,30,1.1380,2.2760,0.0683,0.3073,0.6146,0.018438,Greater than,
4,5/3/2017,3-10,7,1.3270,2.6540,0.0186,0.3392,0.6784,0.0047488,,
4,5/3/2017,3-30,30,0.7944,1.5888,0.0477,0.1195,0.2390,0.00717,Greater than,
4,5/3/2017,3-50,30,0.5788,1.1576,0.0347,0.0375,0.0751,0.0022518,Greater than,
4,5/3/2017,4-10,9,2.1860,4.3720,0.0393,0.3597,0.7194,0.0064746,,
4,5/3/2017,4-30,16,1.1110,2.2220,0.0356,0.2149,0.4298,0.0068768,,
4,5/3/2017,4-50,14,1.8960,3.7920,0.0531,0.3373,0.6746,0.0094444,,
4,5/3/2017,5-10,30,0.5305,1.0610,0.0318,0.1325,0.2650,0.00795,Greater than,
4,5/3/2017,5-30,10,0.5843,1.1686,0.0117,0.2342,0.4684,0.004684,,
4,5/3/2017,5-50,30,0.4893,0.9786,0.0294,0.1725,0.3450,0.01035,Greater than,
4,5/3/2017,6-10,28,0.5488,1.0976,0.0307,0.0774,0.1548,0.00433384,,
4,5/3/2017,6-30,30,0.4798,0.9596,0.0288,0.0967,0.1935,0.0058038,Greater than,
4,5/3/2017,6-50,0,,,,,,,,
4,5/16/2017,1-10,5,1.0030,2.0060,0.0100,0.1190,0.2380,0.00119,,
4,5/16/2017,1-30,15,0.4906,0.9812,0.0147,0.2151,0.4302,0.006453,,
4,5/16/2017,1-50,30,0.6682,1.3364,0.0401,0.2382,0.4764,0.014292,Greater than,
4,5/16/2017,2-10,8,0.7627,1.5254,0.0122,0.2270,0.4540,0.003632,,
4,5/16/2017,2-30,0,,,,,,,,
4,5/16/2017,2-50,26,0.6011,1.2022,0.0313,0.2215,0.4430,0.011518,,
4,5/16/2017,3-10,0,,,,,,,,
4,5/16/2017,3-30,29,0.3017,0.6034,0.0175,0.0449,0.0897,0.00260188,,
4,5/16/2017,3-50,29,0.5942,1.1884,0.0345,0.0641,0.1283,0.00372012,,
4,5/16/2017,4-10,2,,,,,,,,
4,5/16/2017,4-30,8,0.7053,1.4106,0.0113,0.1142,0.2284,0.0018272,,
4,5/16/2017,4-50,10,0.8613,1.7226,0.0172,0.2426,0.4852,0.004852,,
4,5/16/2017,5-10,14,0.7374,1.4748,0.0206,0.1658,0.3316,0.0046424,,
4,5/16/2017,5-30,6,1.1020,2.2040,0.0132,0.1896,0.3792,0.0022752,,
4,5/16/2017,5-50,30,0.4092,0.8184,0.0246,0.1517,0.3034,0.009102,Greater than,
4,5/16/2017,6-10,10,0.5944,1.1888,0.0119,0.0437,0.0874,0.0008738,,
4,5/16/2017,6-30,29,0.4780,0.9560,0.0277,0.0660,0.1320,0.003828,,
4,5/16/2017,6-50,0,,,,,,,,
4,5/31/2017,1-10,21,0.7982,1.5964,0.0335,0.0751,0.1502,0.00315336,,
4,5/31/2017,1-30,19,0.5918,1.1836,0.0225,0.1817,0.3634,0.0069046,,
4,5/31/2017,1-50,30,19.4900,38.9800,1.1694,0.2011,0.4022,0.012066,Greater than,
4,5/31/2017,2-10,30,1.4710,2.9420,0.0883,0.3573,0.7146,0.021438,Greater than,
4,5/31/2017,2-30,0,,,,,,,,
4,5/31/2017,2-50,30,1.9500,3.9000,0.1170,0.7639,1.5278,0.045834,Greater than,
4,5/31/2017,3-10,0,,,,,,,,
4,5/31/2017,3-30,30,0.3386,0.6772,0.0203,0.0459,0.0917,0.0027522,Greater than,
4,5/31/2017,3-50,29,0.5786,1.1572,0.0336,0.0586,0.1171,0.00339648,,
4,5/31/2017,4-10,25,2.5790,5.1580,0.1290,0.6260,1.2520,0.0313,,
4,5/31/2017,4-30,28,0.4861,0.9722,0.0272,0.1393,0.2786,0.0078008,,
4,5/31/2017,4-50,5,1.1510,2.3020,0.0115,0.1442,0.2884,0.001442,,
4,5/31/2017,5-10,30,0.6980,1.3960,0.0419,0.3365,0.6730,0.02019,Greater than,
4,5/31/2017,5-30,7,,,,,,,,
4,5/31/2017,5-50,30,0.4279,0.8558,0.0257,0.1382,0.2764,0.008292,Greater than,
4,5/31/2017,6-10,30,0.9408,1.8816,0.0564,0.1632,0.3264,0.009792,Greater than,
4,5/31/2017,6-30,27,0.5332,1.0664,0.0288,0.1199,0.2398,0.0064746,,
4,5/31/2017,6-50,0,,,,,,,,
5,6/13/2017,1-10,4,,,,,,,,
5,6/13/2017,1-30,18,0.6222,1.2444,0.0224,0.1574,0.3148,0.0056664,,
5,6/13/2017,1-50,30,0.5161,1.0322,0.0310,0.2269,0.4538,0.013614,Greater than,
5,6/13/2017,2-10,1,,,,,,,Less than (.10),
5,6/13/2017,2-30,3,,,,,,,,
5,6/13/2017,2-50,17,0.8254,1.6508,0.0281,0.2149,0.4298,0.0073066,,
5,6/13/2017,3-10,0,,,,,,,,
5,6/13/2017,3-30,24,0.5167,1.0334,0.0248,0.0720,0.1440,0.00345552,,
5,6/13/2017,3-50,30,0.8789,1.7578,0.0527,0.0711,0.1422,0.0042666,Greater than,
5,6/13/2017,4-10,3,,,,,,,,
5,6/13/2017,4-30,12,0.8809,1.7618,0.0211,0.1061,0.2122,0.0025464,,
5,6/13/2017,4-50,2,,,,,,,,
5,6/13/2017,5-10,11,0.9185,1.8370,0.0202,0.2989,0.5978,0.0065758,,
5,6/13/2017,5-30,7,0.9752,1.9504,0.0137,0.2150,0.4300,0.00301,,
5,6/13/2017,5-50,30,0.4855,0.9710,0.0291,0.1596,0.3192,0.009576,Greater than,
5,6/13/2017,6-10,8,0.8714,1.7428,0.0139,0.0656,0.1312,0.00104976,,
5,6/13/2017,6-30,0,,,,,,,Microrhizome on plot 6 30 cm was broken.,
5,6/13/2017,6-50,0,,,,,,,,
5,6/27/2017,1-10,9,0.9035,1.8070,0.0163,0.1177,0.2354,0.0021186,,
5,6/27/2017,1-30,14,0.7966,1.5932,0.0223,0.1740,0.3480,0.004872,,
5,6/27/2017,1-50,30,0.4506,0.9012,0.0270,0.1820,0.3640,0.01092,,
5,6/27/2017,2-10,1,,,,,,,,
5,6/27/2017,2-30,0,,,,,,,,
5,6/27/2017,2-50,28,0.6435,1.2870,0.0360,0.2075,0.4150,0.01162,,
5,6/27/2017,3-10,0,,,,,,,,
5,6/27/2017,3-30,30,0.6412,1.2824,0.0385,0.0502,0.1003,0.0030096,Greater than,
5,6/27/2017,3-50,30,0.4865,0.9730,0.0292,0.0431,0.0862,0.0025854,Greater than,
5,6/27/2017,4-10,4,,,,,,,,
5,6/27/2017,4-30,15,0.6534,1.3068,0.0196,0.0630,0.1260,0.0018906,,
5,6/27/2017,4-50,0,,,,,,,,
5,6/27/2017,5-10,14,0.7548,1.5096,0.0211,0.4573,0.9146,0.0128044,,
5,6/27/2017,5-30,7,0.8653,1.7306,0.0121,0.1800,0.3600,0.00252,,
5,6/27/2017,5-50,30,0.3759,0.7518,0.0226,0.1399,0.2798,0.008394,Greater than,
5,6/27/2017,6-10,10,0.6668,1.3336,0.0133,0.0933,0.1865,0.0018654,,
5,6/27/2017,6-30,0,,,,,,,,
5,6/27/2017,6-50,0,,,,,,,,
5,7/12/2017,1-10,8,0.8179,1.6358,0.0131,0.1060,0.2120,0.001696,,
