Core,Date,TC,TN,TC/TN,NH4,NO3,NH4 Min rate,NO3 Min rate,PO4,Ext C,Ext N,ubial C ,ubial N,ubial P,ubial C/N,Notes
pre mix 1,9/26/18,4.7309,0.4823,9.8089,N/A,N/A,N/A,N/A,3.724178323,445.8555357,56.29992495,485.0481743,127.0476767,17.00224564,3.817843718,Went into ground in Sept 2018
pre mix 2,9/26/18,,,,N/A,N/A,N/A,N/A,3.482532805,401.9014381,44.73784581,591.6938193,143.5900481,21.61703456,4.120716075,Went into ground in Sept 2018
pre mix 3,9/26/18,,,,N/A,N/A,N/A,N/A,-0.126430778,400.340734,46.82570308,583.6197342,143.6917027,24.85952464,4.06161054,Went into ground in Sept 2018
pre sp1,11/28/18,,,,N/A,8.175242808,N/A,1.006879525,1.716722183,357.9498478,51.92896673,394.7384476,126.2556939,28.76395148,3.126500163,Went into ground in Nov 2018.  NH4 contamination
pre sp2,11/28/18,,,,N/A,6.97476791,N/A,1.002604588,1.684656696,363.6396498,52.7979568,420.5527664,129.4310452,42.80568128,3.249241831,Went into ground in Nov 2018.  NH4 contamination
pre sp3,11/28/18,,,,N/A,8.093571192,N/A,0.761510901,1.545874997,349.1267603,51.09490348,763.3098337,155.2336374,33.29767788,4.917167738,Went into ground in Nov 2018.  NH4 contamination
pre sp1,3/20/19,5.71,0.56,10.185,3.164780358,7.211376598,-0.185094863,0.644105533,2.032132403,451.8168702,55.63387895,300.3149443,97.28944785,34.6340103,3.08681929,Went into ground in March 2019
pre sp2,3/20/19,,,,2.72964392,6.482657326,0.124236618,0.896267325,2.120479449,477.3233354,53.10231399,307.1481663,110.2983566,41.62418944,2.784703016,Went into ground in March 2019
pre sp3,3/20/19,,,,2.177575599,7.166189709,0.092019743,0.868036383,1.735300674,497.3942231,58.52670791,255.0781301,105.679093,48.37305845,2.413704762,Went into ground in March 2019
sp1,11/25/19,3.366,0.355,9.4801,2.833336713,2.22981723,N/A,N/A,,545.9997913,63.71300726,N/A,N/A,N/A,N/A,Went in ground Nov 2019. No post samples done
sp2,11/25/19,,,,0.927410732,1.832261307,N/A,N/A,1.051004601,523.2259676,60.65935855,N/A,N/A,N/A,N/A,Went in ground Nov 2019. No post samples done
sp3,11/25/19,,,,2.499592524,2.05049686,N/A,N/A,2.06644115,525.3048557,62.72195812,N/A,N/A,N/A,N/A,Went in ground Nov 2019. No post samples done
FS 1,3/11/20,,,,2.360313149,12.40714451,N/A,N/A,0.42848817,453.1913771,47.99229719,N/A,N/A,N/A,N/A,Went in ground March 2020. No post samples done
FS 2,3/11/20,,,,2.311127433,12.68241848,N/A,N/A,0.845705597,404.854364,44.13262578,N/A,N/A,N/A,N/A,Went in ground March 2020. No post samples done
FS 3,3/11/20,,,,2.288689627,13.55338286,N/A,N/A,0.66746867,409.0112338,45.26591334,N/A,N/A,N/A,N/A,Went in ground March 2020. No post samples done
SP1,10/1/20,,,,2.787680849,3.455174134,N/A,N/A,1.054415396,413.1722108,44.1660983,N/A,N/A,N/A,N/A,Went in ground October 2020. No post samples done
SP2,10/1/20,,,,2.557275174,4.863346435,N/A,N/A,1.877777778,448.6275127,49.04234437,N/A,N/A,N/A,N/A,Went in ground October 2020. No post samples done
SP3,10/1/20,,,,3.061798,6.572591199,N/A,N/A,1.587818537,530.3516399,55.44774559,N/A,N/A,N/A,N/A,Went in ground October 2020. No post samples done
SP1,4/2/21,,,,4.17273,13.7671959,N/A,N/A,0.486597958,221.0348436,26.33836963,N/A,N/A,N/A,N/A,Went in ground April 2021. No post samples done
SP2,4/2/21,,,,3.693494637,14.18709798,N/A,N/A,10.17859273,205.0813788,25.69541497,N/A,N/A,N/A,N/A,Went in ground April 2021. No post samples done
SP3,4/2/21,,,,4.089602163,11.40347452,N/A,N/A,0.156557681,195.5865581,25.56041752,N/A,N/A,N/A,N/A,Went in ground April 2021. No post samples done
