date,plot,height_avg_plot,height_max_plot,n,sd,se,treatment
04/12/2019,4,142.6923077,242,13,60.80485811,16.86423336,warmed
04/12/2019,5,114.3846154,175,13,41.99114681,11.64624869,control
04/12/2019,6,172.6153846,236,13,48.77591356,13.52800441,warmed
05/23/2019,1,210.3076923,292,13,50.53280224,14.01527766,control
05/23/2019,2,171.1538462,241,13,52.91005915,14.6746101,warmed
05/23/2019,3,189.4615385,226,13,43.37744303,12.03073808,control
05/23/2019,4,133.3076923,220,13,54.74849254,15.18449978,warmed
05/23/2019,5,122.8461538,170,13,37.46074869,10.38974232,control
05/23/2019,6,143.6923077,235,13,56.91863288,15.78638841,warmed
07/31/2019,1,223.3846154,300,13,57.30988638,15.89490261,control
07/31/2019,2,177.5384615,233,13,41.46407157,11.50006432,warmed
07/31/2019,3,219.3846154,281,13,36.74810304,10.19208998,control
07/31/2019,4,125.5384615,242,13,79.76487885,22.12279697,warmed
07/31/2019,5,140.1538462,243,13,63.92814476,17.73047722,control
07/31/2019,6,127,258,13,74.10802925,20.55386918,warmed
08/26/2019,1,170.1538462,272,13,87.75329638,24.33838536,control
08/26/2019,2,159.9230769,248,13,70.60389689,19.58199773,warmed
08/26/2019,3,127.5384615,247,13,69.98287336,19.40975679,control
08/26/2019,4,124.8461538,242,13,69.69080063,19.32875039,warmed
08/26/2019,5,116,167,13,53.21810469,14.76004656,control
08/26/2019,6,132.3846154,259,13,68.37219033,18.9630337,warmed
09/26/2019,1,162.9230769,282,13,97.27663435,26.97968408,control
09/26/2019,2,136.7692308,206,13,64.69950263,17.9444134,warmed
09/26/2019,4,99.53846154,201,13,70.90206319,19.66469418,warmed
09/26/2019,6,100.0769231,194,13,57.05328144,15.82373321,warmed
09/27/2019,3,229.1538462,288,13,45.64509129,12.65967055,control
09/27/2019,5,133.3846154,261,13,73.91384451,20.50001203,control
10/30/2019,1,260.1538462,302,13,30.99420955,8.59624706,control
10/30/2019,2,234.3846154,293,13,34.73839965,9.634698551,warmed
10/30/2019,3,235.2307692,296,13,39.33436548,10.90939012,control
10/30/2019,4,192.5384615,270,13,64.21398522,17.8097551,warmed
10/30/2019,5,194.6153846,263,13,48.76053469,13.52373908,control
10/30/2019,6,193.1538462,255,13,44.94041639,12.4642289,warmed
12/04/2019,1,249.3846154,300,13,40.76260227,11.30551174,control
12/04/2019,2,226,276,13,33.68976106,9.343858534,warmed
12/04/2019,3,230.5384615,276,13,38.77201608,10.75342246,control
12/04/2019,4,206.6923077,300,13,73.68557595,20.43670172,warmed
12/04/2019,5,172.1538462,242,13,38.88411448,10.78451297,control
12/04/2019,6,190.3846154,246,13,43.4655773,12.05518213,warmed
01/29/2020,1,227.9230769,271,13,27.91791999,7.743037848,control
01/29/2020,2,208.2307692,268,13,41.8731295,11.61351658,warmed
01/29/2020,3,258.0769231,320,13,38.84683929,10.77417469,control
01/29/2020,4,178.7692308,241,13,55.91981439,15.50936601,warmed
01/29/2020,5,166.8461538,223,13,30.12431508,8.354981743,control
01/29/2020,6,191.1538462,247,13,36.333745,10.07716774,warmed
02/26/2020,1,232.9230769,253,13,16.06995923,4.45700477,control
02/26/2020,2,224,264,13,25.40013123,7.04472889,warmed
02/26/2020,3,262.5,320,2,81.31727984,57.5,control
02/26/2020,4,193,300,13,70.15102755,19.45639437,warmed
02/26/2020,6,181.0769231,237,13,39.09062449,10.84178854,warmed
02/27/2020,3,245.7272727,295,11,38.18400427,11.51291047,control
02/27/2020,5,155.3076923,216,13,42.66416259,11.83290968,control
05/21/2020,1,245.3846154,297,13,30.97724558,8.5915421,control
05/21/2020,2,224.1538462,267,13,38.85838853,10.77737787,warmed
05/21/2020,3,246.9230769,302,13,47.93304625,13.29423508,control
05/21/2020,4,187.1538462,277,13,50.10130762,13.89560259,warmed
05/21/2020,5,145.1538462,246,13,62.8222972,17.42377029,control
05/21/2020,6,166,231,13,51.82663408,14.37412205,warmed
07/01/2020,1,243.9230769,278,13,25.97261872,7.20350835,control
07/01/2020,2,214.4615385,293,13,46.60582114,12.92612907,warmed
07/01/2020,3,236.7692308,355,13,51.10471904,14.17389884,control
07/01/2020,4,167.9230769,276,13,50.52798159,14.01394065,warmed
07/01/2020,5,142.2307692,233,13,52.60569336,14.59019422,control
07/01/2020,6,144.1538462,224,13,53.27733438,14.77647392,warmed
09/03/2020,1,235.3846154,296,13,30.81000503,8.545157919,control
09/03/2020,2,215.6923077,272,13,46.00250829,12.75880019,warmed
09/03/2020,4,177.2307692,256,13,42.40706279,11.76160303,warmed
09/03/2020,5,142.7692308,197,13,40.27851753,11.17125079,control
09/03/2020,6,139.5384615,226,13,61.12911934,16.95416725,warmed
09/04/2020,3,235.2307692,384,13,68.70850729,19.05631124,control
10/05/2020,1,228.3846154,297,13,35.40842287,9.820529557,control
10/05/2020,2,206.2307692,264,13,43.76291018,12.13764743,warmed
10/05/2020,3,219.0769231,334,13,62.99399646,17.4713911,control
10/05/2020,4,165.6923077,217,13,32.93525116,9.134595142,warmed
10/05/2020,5,147.3846154,204,13,36.86357385,10.22411582,control
10/05/2020,6,136.9230769,229,13,58.53269961,16.23404998,warmed
11/02/2020,1,238.4615385,296,13,29.4635803,8.171726887,control
11/02/2020,2,211.3076923,287,13,44.56527911,12.36018453,warmed
11/09/2020,3,242.6153846,347,13,56.91300153,15.78482656,control
11/09/2020,4,168.6153846,210,13,32.99883448,9.15222998,warmed
11/09/2020,5,144.7692308,226,13,38.19501243,10.59339044,control
11/09/2020,6,137.1538462,233,13,56.02803785,15.5393818,warmed
12/14/2020,1,240.6923077,293,13,28.48503881,7.900328308,control
12/14/2020,2,200.2307692,283,13,43.76291018,12.13764743,warmed
12/14/2020,3,249.5384615,310,13,40.3084263,11.17954599,control
12/14/2020,4,184.9230769,224,13,33.44762458,9.276701958,warmed
12/14/2020,5,147.5384615,203,13,39.71065219,11.01375328,control
12/14/2020,6,151.6923077,231,13,55.03996217,15.26533891,warmed
01/13/2021,1,244.2307692,306,13,25.91381178,7.18719824,control
01/13/2021,2,199.2307692,290,13,44.22321006,12.26531165,warmed
01/14/2021,3,261.6923077,360,13,45.00256403,12.48146555,control
01/14/2021,4,172.6153846,232,13,36.55712074,10.13912102,warmed
01/15/2021,5,163.0769231,200,13,24.36685433,6.758149438,control
01/15/2021,6,146.0769231,238,13,62.11476145,17.22753518,warmed
02/18/2021,4,174.6923077,225,13,27.1611997,7.533161402,warmed
02/19/2021,2,218.3846154,307,13,49.78711088,13.80846009,warmed
02/19/2021,3,251.8461538,400,13,62.66690535,17.38067235,control
02/22/2021,1,239.7692308,306,13,28.80727294,7.989699977,control
02/22/2021,5,165.2307692,216,13,47.42037861,13.15204666,control
02/22/2021,6,134.4615385,227,13,55.65311519,15.43539696,warmed
04/22/2021,2,195.1538462,284,13,54.76745712,15.1897596,warmed
04/22/2021,3,243.4615385,410,13,78.50543016,21.77348876,control
04/22/2021,4,170.4615385,226,13,43.56913163,12.08390293,warmed
04/22/2021,5,165.4615385,216,13,49.80062815,13.8122091,control
04/22/2021,6,119.3076923,217,13,68.65418732,19.04124559,warmed
04/23/2021,1,233.9230769,289,13,34.79334596,9.649937916,control
06/07/2021,1,232.3846154,275,13,22.85293001,6.338262382,control
06/07/2021,2,193.3076923,318,13,48.87805338,13.5563329,warmed
06/07/2021,3,266.8461538,400,13,74.68025861,20.71257705,control
06/07/2021,6,130.4615385,226,13,67.46927126,18.712609,warmed
06/15/2021,4,162.3076923,216,13,57.49693414,15.94678033,warmed
06/15/2021,5,173.2307692,269,13,42.56006314,11.80403769,control
08/26/2021,1,243.3076923,291,13,25.17069929,6.981095917,control
08/26/2021,2,169.7692308,253,13,53.11489723,14.73142196,warmed
08/26/2021,3,260.1538462,400,13,70.64446918,19.59325046,control
08/26/2021,4,174.9230769,230,13,49.8522175,13.82651741,warmed
08/26/2021,5,185.4615385,276,13,34.66173535,9.6134357,control
08/26/2021,6,108.6153846,196,13,53.98385324,14.97242699,warmed
10/26/2021,1,238.9230769,276,13,25.30962116,7.019625911,control
10/26/2021,2,189.3846154,270,13,36.88165411,10.22913039,warmed
10/26/2021,3,234,288,13,52.84411036,14.65631919,control
10/26/2021,4,158.6153846,206,13,58.92302671,16.34230724,warmed
10/26/2021,5,171.1538462,221,13,30.44625361,8.444271426,control
10/26/2021,6,132.7692308,230,13,54.11585388,15.00903738,warmed
12/17/2021,1,247.9230769,300,13,33.08439093,9.17595907,control
12/17/2021,2,192.5384615,310,13,50.20560292,13.92452889,warmed
12/17/2021,3,226.4615385,298,13,51.63270182,14.32033492,control
12/17/2021,4,175.6153846,223,13,36.46353992,10.11316637,warmed
12/17/2021,5,174.9230769,206,13,20.08507546,5.570597651,control
12/17/2021,6,131.7692308,247,13,65.42954716,18.14689132,warmed
02/25/2022,1,240.6153846,275,13,24.46609375,6.785673503,control
02/25/2022,2,177.7692308,269,13,49.13782292,13.62838001,warmed
02/25/2022,3,219.5384615,269,13,41.55040189,11.52400804,control
02/25/2022,4,167,207,13,40.4310112,11.21354492,warmed
02/25/2022,5,172.9230769,211,13,32.02202767,8.881312517,control
02/25/2022,6,132.6153846,261,13,82.02696555,22.75018694,warmed
04/26/2022,1,236.8461538,297,13,34.97819834,9.701206741,control
04/26/2022,2,164.1538462,241,13,55.69836346,15.44794657,warmed
04/26/2022,3,224.6153846,277,13,62.16984594,17.24281287,control
04/26/2022,4,144.6923077,211,13,56.2929608,15.6128582,warmed
04/26/2022,5,168.6153846,210,13,34.42271164,9.547142452,control
04/26/2022,6,119.0769231,190,13,61.07299122,16.93860011,warmed
06/29/2022,1,239.5384615,273,13,27.49731922,7.626384183,control
06/29/2022,2,175.6923077,330,13,60.85006795,16.87677232,warmed
06/29/2022,3,227.1538462,298,13,72.28974818,20.04956875,control
06/29/2022,4,155.6923077,231,13,55.09444106,15.28044863,warmed
06/29/2022,5,164.8461538,211,13,29.091368,8.06849377,control
06/29/2022,6,131.3076923,234,13,61.93731322,17.1783199,warmed
08/29/2022,1,233.2307692,279,13,34.6486023,9.609793246,control
08/29/2022,2,157.6923077,271,13,48.08566074,13.33656273,warmed
08/29/2022,3,231.6153846,296,13,57.21529292,15.8686671,control
08/29/2022,4,146.6923077,210,13,54.63879058,15.15407393,warmed
08/29/2022,5,182.5384615,260,13,38.27448102,10.61543107,control
08/29/2022,6,96,184,13,54.53592088,15.12554301,warmed
11/17/2022,1,241.9230769,300,13,35.01776106,9.712179466,control
11/17/2022,2,144.6923077,330,13,84.0360881,23.30741728,warmed
11/17/2022,3,230,300,13,81.5986111,22.63138279,control
11/17/2022,4,136.6923077,205,13,66.21100691,18.36362926,warmed
11/17/2022,5,185.3076923,300,13,58.08526006,16.10995258,control
11/17/2022,6,93.07692308,230,13,65.75771379,18.23790837,warmed
12/29/2022,1,257.7692308,300,13,32.38866532,8.982999503,control
12/29/2022,2,169.7692308,350,13,71.55318983,19.84528422,warmed
12/29/2022,3,238.4615385,300,13,62.56278897,17.35179566,control
12/29/2022,4,148.6153846,285,13,88.34075924,24.50131824,warmed
12/29/2022,5,195.7692308,260,13,36.79029276,10.20379131,control
12/29/2022,6,148.8461538,400,13,100.5433954,27.88572058,warmed
03/02/2023,1,242.5384615,310,13,33.16025579,9.197000197,control
03/02/2023,2,119.6153846,350,13,94.68063729,26.25968404,warmed
03/02/2023,3,239.3846154,340,13,72.63440239,20.14515863,control
03/02/2023,4,134.2307692,222,13,72.58001773,20.13007504,warmed
03/02/2023,5,188.4615385,280,13,45.38651669,12.58795486,control
03/02/2023,6,113.7692308,250,13,68.11161654,18.89076353,warmed
04/27/2023,1,234.2307692,291,13,39.13471146,10.85401606,control
04/27/2023,2,128.5384615,180,13,42.09832812,11.67597544,warmed
04/27/2023,3,205.4615385,268,13,52.85296489,14.658775,control
04/27/2023,4,136.3076923,200,13,66.78745468,18.52350711,warmed
04/27/2023,5,165.6153846,226,13,48.9617852,13.57955593,control
04/27/2023,6,95.23076923,188,13,60.70029358,16.83523238,warmed
07/07/2023,1,215.3076923,284,13,45.58030389,12.64170176,control
07/07/2023,2,143.8461538,226,13,62.64828563,17.37550817,warmed
07/07/2023,3,204.1538462,274,13,73.05916113,20.26296551,control
07/07/2023,4,132.9230769,205,13,55.67234732,15.44073099,warmed
07/07/2023,5,164.3076923,265,13,41.90740709,11.62302347,control
07/07/2023,6,112.5384615,225,13,64.81719857,17.97705638,warmed
08/23/2023,1,250.5384615,300,13,49.63972768,13.76758334,control
08/23/2023,2,127.4615385,300,13,99.4397769,27.57963188,warmed
08/23/2023,3,265.6153846,300,13,32.71477358,9.073445662,control
08/23/2023,4,110.5384615,190,13,73.5420689,20.39690002,warmed
08/23/2023,5,182.3846154,270,13,44.29924465,12.28639985,control
08/23/2023,6,142.5384615,283,13,92.296276,25.5983812,warmed
10/26/2023,1,258.6153846,300,13,49.93251857,13.84878892,control
10/26/2023,2,171.3076923,295,13,65.99669766,18.30419057,warmed
10/26/2023,3,243.8461538,300,13,67.20967955,18.64061122,control
10/26/2023,4,137.6153846,220,13,65.37142401,18.13077086,warmed
10/26/2023,5,173.9230769,250,13,41.66025592,11.55447607,control
10/26/2023,6,112.0769231,201,13,56.79122811,15.75105269,warmed
02/23/2024,1,243.8461538,300,13,35.86745543,9.947842282,control
02/23/2024,2,177.9230769,295,13,65.24244725,18.09499915,warmed
02/23/2024,3,211.3076923,300,13,68.54850426,19.01193438,control
02/23/2024,4,161,215,13,46.7849691,12.97581577,warmed
02/23/2024,5,162.7692308,225,13,36.81520032,10.21069942,control
02/23/2024,6,126.3076923,300,13,71.55578781,19.84600477,warmed
07/03/2024,1,200.9230769,263,13,72.8851397,20.21470065,control
07/08/2024,2,152.1538462,320,13,68.61468035,19.03028833,warmed
07/08/2024,4,134.1538462,227,13,64.71069741,17.94751827,warmed
07/08/2024,5,174.6923077,241,13,40.63944023,11.27135274,control
07/08/2024,6,145.2307692,275,13,69.95731299,19.40266762,warmed
07/09/2024,3,257.3846154,320,13,61.24478,16.98624574,control
11/14/2024,1,175.6923077,275,13,71.55695239,19.84632777,control
11/14/2024,2,111.9230769,310,13,92.93587533,25.77577414,warmed
11/14/2024,3,201.8461538,310,13,102.0227476,28.29601905,control
11/14/2024,4,113.4615385,208,13,72.003027,19.9700466,warmed
11/14/2024,5,153.6923077,242,13,49.93559955,13.84964343,control
11/14/2024,6,112.3846154,203,13,56.4882561,15.66702337,warmed
