date,plot,live.root.mass_g_rootsoilcores,root.N_percent_rootsoilcores,root.C_percent_rootsoilcores,root.C_count_rootsoilcores,length_cm_rootsoilcores,projected.area_cm2_rootsoilcores,surface.area_cm2_rootsoilcores,volume_cm3_rootsoilcores,tips_count_rootsoilcores,forks_count_rootsoilcores,crossings_count_rootsoilcores,mean.diam_mm_rootsoilcores,0_rootsoilcores,r25_nmolCO2.g.s_rootsoilcores,plot.vegtemp_c_rootsoilcores,soil.mean.temp_c_surf_rootsoilcores,soil.mean.vwc_cm3_cm3_surf_rootsoilcores,soil.temp_c_deepcm20_rootsoilcores,soil.temp_c_deepcm40_rootsoilcores,soil.moist_c_deepcm20_rootsoilcores,soil.moist_c_deepcm40_rootsoilcores,soil.total_carbon_percent_rootsoilcores,soil.total.nitrogen_percent_rootsoilcores,soil.tc.tn_percent_rootsoilcores,soil.NH4_ug.g_rootsoilcores,soil.NO3_ug.g_rootsoilcores,soil.inorganic.nitrogen_ug.g_rootsoilcores,soil.NH4.min.rate_ug.gsoil.d.1_rootsoilcores,soil.NO3.min.rate_ug.gsoil.d.1_rootsoilcores,soil.N.min.rate_ug.gsoil.d.1_rootsoilcores,soil.PO4_ug.g_rootsoilcores,soil.ext_c_ug.g_rootsoilcores,soil.ext.n_ug.g_rootsoilcores,soil.ubial_c_ug.g_rootsoilcores,soil.ubial.n_ug.g_rootsoilcores,soil.ubial.p_ug.g_rootsoilcores,soil.ubial_c.n_percent_rootsoilcores,resp.root.mass_g_rootsoilcores,remaining.root.mass_g_rootsoilcores,core.root.mass_g_rootsoilcores,resp.dead.mass_g_rootsoilcores,remaining.dead.mass_g_rootsoilcores,total.dead.mass_g_rootsoilcores,root.mass.per.area.gramspermetersq_rootsoilcores,resp.rate.at.temp.gramspermetersq_rootsoilcores,err25_mmol.g.d_rootsoilcores,err25_g.C.d_rootsoilcores,srl_cm.g_rootsoilcores,rtd_g_cm3_rootsoilcores
2017-03-09,5,0.566,1.9158,40.2743,21.0224,497.3979,27.6693,86.9256,1.214,1176,1740,241,0.556280998,1.417777653,4.389057594,19.8991005,21.65214186,0.242290065,22.39749563,22.61047229,0.446472413,0.435534325,4.9511,0.4612,10.7345,1.428767465,0.257129333,,0.047015908,0.55892881,,0.426587008,306.5244679,28.93166092,269.8959043,69.46378699,4.1638559,3.885418806,0.566,0.097,0.663,0.016,0.21,0.226,327.1117953,3.904945974,124.0455608,1.489787185,8.787948763,0.466227348
2017-03-09,2,0.194,1.1384,39.8469,35.0032,170.6495,9.1376,28.7067,0.384,622,738,64,0.53546011,2.413255802,2.349568303,23.70005979,25.47124338,0.31966687,25.71822829,25.56701075,0.379692993,0.39240347799999997,3.2245,0.3217,10.0229,0.526688352,1.006253188,,0.104015842,0.562746828,,-0.010511211,186.5120139,20.1009188,679.6092619,64.78812459,3.77049235,10.48971962,0.194,0,0.194,0.029,0.014,0.043,95.71597026,2.449164774,19.43060053,0.233361512,8.796365979,0.505208333
2017-03-09,4,0.501,1.5348,40.7948,26.5807,393.7796,24.5338,77.0752,1.215,772,1417,183,0.623033799,1.136550795,3.235591179,23.70977433,25.3276036,0.225904532,25.59980117,25.60278638,0.373497273,0.328185895,4.9312,0.4413,11.1747,1.11495874,0.381101745,,0.128522604,1.547982141,,0.237455957,341.0157553,31.8814949,566.4857718,114.9338855,7.020664942,4.92879684,0.501,0.071,0.572,0.014,0.102,0.116,282.2140979,3.249187348,78.89438411,0.947521553,7.859872255,0.412345679
2017-03-09,1,0.633,2.0568,39.9281,19.4129,391.901,25.3801,79.734,1.293,1221,1296,122,0.647615086,1.095379891,3.39252817,21.16398283,21.75746494,0.404637555,22.41341846,22.60136096,0.39591591,0.323780331,3.9151,0.4003,9.7814,1.20814957,0.301712479,,0.084818681,0.716673066,,1.128767936,242.7061853,24.00675871,120.5275651,38.48738925,2.625294837,3.131611871,0.633,0.024,0.657,0.018,0.161,0.179,324.1515075,3.293778946,95.01348564,1.141111962,6.191169036,0.489559165
2017-03-09,3,0.495,1.9243,38.5241,20.0202,386.3734,25.7261,80.8209,1.361,998,1590,111,0.665835174,3.098405723,3.460209054,20.81383567,21.81065942,0.328869667,22.46570083,22.66517483,0.424669579,0.436884769,3.1925,0.3066,10.4123,1.308418961,1.024362712,,0.008198864,0.858251057,,-0.013867541,237.2133923,24.23830826,217.1671423,40.63069559,1.513008355,5.344903384,0.495,0.081,0.576,0.036,0.105,0.141,284.187623,2.412468277,84.96131785,1.020385427,7.805523232,0.363703159
2018-03-15,2,0.224,1.573,41.181,26.1795,662.2524,22.0663,69.3232,0.599,3166,4114,292,0.333200755,1.516889425,5.839237731,23.1360402,23.72864129,0.424789433,23.68828913,23.60147792,0.423794243,0.418854981,4.1575,0.4039,10.2933,4.212423196,0.33383025,4.546253446,-0.332223521,1.236040409,0.903816887,2.552077965,300.8649234,24.60046533,364.6226344,67.1316237,26.33032203,5.431458594,0.224,0.087,0.311,,0.108,0.108,153.4415812,5.537967748,77.4128336,0.929728132,29.56483929,0.373956594
2018-03-15,3,0.304,1.235,42.16,34.1279,,,,,,,,,1.250398584,3.270742843,22.33389784,23.20617351,0.3711193,23.21641588,23.21980417,0.439024284,0.455344769,4.3669,0.4052,10.7759,5.824445312,1.768731604,7.593176916,-0.581507652,2.085305524,1.503797872,2.382864653,390.2849673,45.80441025,267.9840912,30.96628819,17.01246834,8.6540592,0.304,0.17,0.474,0.025,0.083,0.108,233.8627315,3.142227228,66.08777948,0.793714232,,
2018-03-15,4,0.22,1.037,43.285,41.7378,373.4783,13.4875,42.3721,0.383,1735,1991,123,0.361132093,1.780172679,1.60167407,22.67751647,23.79569934,0.415800738,23.59067679,23.52571942,0.420490995,0.353669988,6.1803,0.5354,11.5422,5.737281874,0.807538006,6.54481988,0.15669608,1.856709417,2.013405496,5.85365069,501.2103969,47.51446465,458.8467531,80.31812671,36.90682705,5.71286672,0.22,0.158,0.378,0.015,0.026,0.041,186.4981276,1.494207712,25.80847618,0.309959799,16.97628636,0.574412533
2018-03-15,5,0.158,1.436,41.62,28.9901,367.7676,12.8554,40.3865,0.353,2002,2523,157,0.349552272,0.883033795,3.68517813,23.03380691,23.69425074,0.336727176,23.62086221,23.57934192,0.448055495,0.43999419,4.657,0.4449,10.4676,12.11077042,0.668483653,12.77925408,-1.545697397,1.539308178,-0.006389219,2.441032762,337.2271356,37.25718558,397.1042399,64.72994273,28.23495506,6.134784354,0.158,0.075,0.233,0.127,0.24,0.367,114.9578406,3.745523204,36.60250636,0.439596101,23.27643038,0.447592068
2018-03-15,6,0.198,1.297,41.688,32.1524,212.143,9.9475,31.2509,0.366,1161,1019,42,0.468905408,2.292466333,3.244627809,22.57421243,24.05546477,0.370956867,23.44465408,23.2793655,0.413197834,0.399137258,4.8825,0.4689,10.4126,6.633112578,0.741149071,7.374261649,-0.486515266,1.451180464,0.964665198,-0.389248048,299.34584,28.61791634,339.0803093,91.08491714,24.83900372,3.722683403,0.198,0.033,0.231,0.123,0.023,0.146,113.971078,3.000081146,31.95017819,0.38372164,10.71429293,0.540983607
2018-03-18,3,0.193,1.424,44.163,31.0033,517.3724,16.5544,52.0073,0.416,2350,4198,298,0.319970683,0.726422381,2.480298678,22.9873445,23.64322858,0.336465829,23.58183554,23.49971396,0.430889543,0.451120607,3.7531,0.3544,10.5903,6.262480111,0.591452221,6.853932332,-0.404828587,2.577452304,2.172623717,2.935264104,515.9948209,42.94453805,35.83803936,34.00811431,25.47710282,1.053808483,0.193,0.131,0.324,0.007,0.036,0.043,159.855538,2.590224651,34.25669102,0.411422859,26.8068601,0.463942308
2018-03-18,6,0.261,1.869,44.093,23.5866,336.5137,15.805,49.6529,0.583,5480,3378,167,0.469668843,0.770955565,2.18001652,23.18585843,24.54883843,0.328475573,23.85828125,23.62797158,0.406563152,0.393365843,4.6577,0.4462,10.439,4.806033332,5.18496849,9.991001822,-0.03728792,2.459412581,2.42212466,8.85398494,462.5445155,59.9040454,399.529504,115.4017791,45.53505381,3.462074043,0.261,0.05,0.311,,0.003,0.003,153.4415812,2.205751516,28.90124771,0.347103985,12.89324521,0.447684391
2018-03-18,1,0.329,1.931,44.374,22.9751,580.9917,22.7471,71.462,0.699,2251,4687,221,0.391521944,2.197750664,3.388590579,23.24318478,23.97977456,0.317769538,23.79974383,23.73040179,0.388138913,0.316001978,4.8355,0.4616,10.4761,6.539184559,0.370135975,6.909320535,-0.208160503,3.260979503,3.052819,2.577323083,392.9022971,38.42773239,352.9092522,71.31686569,26.6864976,4.948468344,0.329,0.144,0.473,0.019,0.071,0.09,233.3693502,3.127012309,68.32453087,0.820577616,17.65932219,0.470672389
2018-03-18,4,0.284,1.664,46.311,27.8386,467.6689,18.8534,59.2296,0.597,2001,3344,152,0.403135637,1.448092875,2.28350674,23.41883035,24.24634288,0.37937428,23.96640433,23.82317117,0.404951569,0.343322461,6.5632,0.5351,12.2657,9.78516411,0.498084909,10.28324902,-0.916650894,6.161021801,5.244370908,11.82601498,821.9914771,76.99552835,225.3136701,56.77103045,66.98453021,3.96881417,0.284,0.11,0.394,0.004,0.051,0.055,194.3922283,2.220668649,38.35261124,0.460614861,16.46721479,0.475711893
2018-03-20,3,0.436,1.74,44.048,25.3211,546.0287,25.6945,80.7216,0.95,7455,4862,153,0.470570503,1.383258222,2.779104151,22.74092525,23.50764841,0.315261535,23.64154842,23.61443829,0.425270581,0.448094788,4.1881,0.3923,10.6759,5.138223772,2.198230452,7.336454223,-0.433068894,3.044108259,2.611039365,2.849218775,374.831113,43.20084032,322.9157112,34.49749944,16.94559612,9.360554141,0.436,0.113,0.549,0.012,0.028,0.04,270.8663282,2.647750767,65.03895969,0.781117906,12.52359404,0.458947368
2018-03-20,2,0.408,1.399,43.705,31.2343,569.3479,30.0535,94.4159,1.246,2346,3708,160,0.527858274,1.526368697,5.519190724,23.67988813,24.15697094,0.362012087,24.16267596,24.04536188,0.407920726,0.410228184,5.5789,0.4628,12.0559,5.055130497,3.461213227,8.516343724,-0.363286669,2.410603383,2.047316715,10.17405135,362.4137637,29.04833265,402.5828252,86.27517071,26.63427456,4.666265182,0.408,0.101,0.509,0.07,0.08,0.15,251.1310766,5.32589226,119.7538826,1.438244131,13.95460539,0.327447833
2018-03-20,1,0.276,1.449,43.719,30.1668,492.7565,20.1689,63.3625,0.648,2406,4158,160,0.40930764,1.778276122,2.372269282,23.04185454,23.91019711,0.294342339,23.87697138,23.85122917,0.373374004,0.304449219,4.225,0.4375,9.6578,4.477922355,0.940649973,5.418572327,0.017722799,2.300823429,2.318546228,5.791347605,370.3663768,43.22884772,171.6944089,54.32095701,17.84543072,3.160739766,0.276,0.08,0.356,0.036,0.057,0.093,175.6437392,2.228019566,36.00065495,0.432367866,17.85349638,0.425925926
2018-03-20,6,0.247,1.52,43.827,28.8399,315.9299,13.8966,43.6575,0.48,1513,2311,140,0.4398634,2.569985517,2.882040663,22.93916863,24.45624602,0.303250527,23.89513304,23.72863992,0.402577606,0.38968578,4.646,0.4413,10.5287,4.278293457,3.75595684,8.034250297,-0.366141402,2.932376886,2.566235484,5.960084418,351.9161009,32.12485464,347.1284057,73.33856812,18.71245189,4.733231294,0.247,0.036,0.283,0.005,0.028,0.033,139.6269051,2.737851954,34.76826013,0.417566804,12.79068421,0.514583333
2018-09-24,1,0.324,1.2198,46.1412,37.8255,595.1639,22.7534,71.4818,0.731,3113,2470,72,0.382304774,1.596398141,4.264471974,26.3996823,25.83147011,0.37890476,25.95452546,25.99986538,0.407471644,0.353702766,,,,,,,,,,,,,,,,,0.324,0.211,0.535,0.029,0.109,0.138,263.9589901,4.433593271,97.25578984,1.168042036,18.36925617,0.443228454
2018-09-24,3,0.179,1.3294,43.6011,32.7973,678.2371,20.3612,63.9666,0.483,3853,3114,129,0.3002077,0.39242939,2.262162897,24.61884871,25.8354874,0.398254806,25.99728421,25.96539733,0.454633521,0.464331799,,,,,,,,,,,,,,,,,0.179,0.346,0.525,0,0.089,0.089,259.0251772,2.092103481,50.62669735,0.608026635,37.89034078,0.370600414
2018-09-24,6,0.23,1.6392,40.8467,24.9185,499.0458,23.8973,75.0756,0.911,2664,1616,43,0.478859856,1.730621981,8.486772904,24.80634683,25.81200731,0.451716282,26.05900079,25.95745988,0.416562193,0.401211398,,,,,,,,,,,,,,,,,0.23,0.13,0.36,0.061,0.14,0.201,177.6172644,8.873292034,130.2391342,1.564172002,21.69764348,0.252469813
2018-09-24,4,0.143,1.4612,40.8323,27.9438,1255.8656,26.4841,83.2025,0.448,7326,6960,553,0.210883235,0.775614652,2.796476468,25.494713,26.13373231,0.381413093,26.28428346,26.22296696,0.432872513,0.372932531,,,,,,,,,,,,,,,,,0.143,0.263,0.406,0.003,0.019,0.022,200.3128037,2.7170647,48.39869161,0.581268286,87.82276923,0.319196429
2018-09-24,2,0.188,1.1174,42.3091,37.8648,724.5028,20.721800000000002,65.0994,0.482,4396,4366,326,0.286014078,2.190284802,2.014446714,25.39034075,25.95607846,0.44587575,26.18410854,26.173467080000002,0.43897331,0.435988721,,,,,,,,,,,,,,,,,0.188,0.129,0.317,0.009,0.053,0.062,156.4018689,2.171252402,27.22146315,0.326929772,38.53738298,0.390041494
2018-09-24,5,0.214,1.2706,43.0363,33.8715,913.3018,25.0517,78.7023,0.552,5104,4354,337,0.274298156,1.549394055,2.924768747,24.71600642,25.64119307,0.40697374,26.03775379,26.0286275,0.461335602,0.456942985,,,,,,,,,,,,,,,,,0.214,0.148,0.362,0.011,0.063,0.074,178.604027,3.00804675,45.13324115,0.542050226,42.67765421,0.387681159
2019-03-25,1,0.186,1.159,40.228,34.705,485.5154,13.9407,43.7962,0.327,3600,2677,134,0.287131984,1.512801371,4.777727681,23.10134592,22.42983106,0.296886846,22.71396163,22.89750813,0.350671444,0.276556715,3.57,0.36,9.8236,3.077022328,0.134126392,3.211148721,-0.145056311,0.965809448,0.820753138,0.124617769,562.7204323,60.89903824,288.3386218,84.45049216,27.19491173,3.414291787,0.186,0.241,0.427,0.005,0.19,0.195,210.6738108,4.295506736,86.96523724,1.044452499,26.10297849,0.568807339
2019-03-25,3,0.164,1.486,38.627,25.9906,362.2755,15.3087,48.0938,0.508,2012,2055,84,0.422570668,1.382644263,13.59678639,20.91491942,22.19760578,0.371301012,22.580256,22.73089471,0.432370824,0.453408566,4.04,0.38,10.5983,0.77054928600000006,0.498358392,1.268907678,0.038488647,0.714203856,0.752692503,0.6356333,462.6051643,53.68394649,362.0217503,96.55106356,36.1872902,3.749536639,0.164,0.074,0.238,0.008,0.096,0.104,117.424747,12.41662765,137.9461711,1.656733515,22.08996951,0.322834646
2019-03-25,2,0.25,1.115,38.792,34.8027,465.0827,17.3726,54.5777,0.515,4814,2461,74,0.373537868,2.903611058,2.384583837,26.00509588,23.25749472,0.368975382,23.33152613,23.41711504,0.421261951,0.424654951,4.64,0.42,11.0575,2.903998232,0.381734417,3.285732649,0.005195679,0.937998754,0.943194433,0.446329348,425.9139184,53.50103353,440.9507012,72.74865936,35.8357355,6.061289721,0.25,0.05,0.3,0.006,0.047,0.053,148.014387,1.980365392,30.49511457,0.366246326,18.603308,0.485436893
2019-03-25,6,0.181,1.847,37.837,20.4875,389.4263,15.7235,49.3968,0.504,3024,2115,65,0.403760609,2.242522019,3.498956951,25.95428188,22.93411378,0.393894387,23.71655117,23.56223388,0.373821399,0.359973676,4.63,0.43,10.6759,1.113549198,0.231447634,1.344996832,-0.046296502,0.573150202,0.5268537,-1.482898823,524.7263186,42.78295376,344.394373,124.1606299,36.77586957,2.773780814,0.181,,0.181,-0.004,0.151,0.147,89.30201349,2.96128621,26.99688103,0.324232541,21.51526519,0.359126984
2019-03-26,2,0.35,1.006,39.572,39.344,435.3156,20.0487,62.9848,0.726,4407,2273,110,0.460555514,3.935716035,2.842126736,26.19412267,23.35536744,0.372835059,23.37846754,23.44135175,0.423019391,0.426995566,4.82,0.42,11.5982,29.88651456,0.243463613,30.12997817,-3.91838415,0.630558099,-3.287826051,-0.355351432,443.5425426,37.30117551,478.9325804,150.996625,19.86500506,3.171809835,0.35,0.091,0.441,0.02,0.08,0.1,217.5811489,2.268735653,53.42917252,0.641684362,12.43758857,0.482093664
2019-03-26,3,0.292,1.439,39.276,27.2954,398.6239,21.582,67.8018,0.958,3322,2077,42,0.541412595,2.510674765,4.390642111,21.0587905,22.30283399,0.37367571,22.623105,22.75322846,0.433960117,0.454307401,4.6,0.4,11.4857,1.991070413,0.352157296,2.343227709,-0.046085499,1.193160073,1.147074574,2.474288368,368.8357619,42.63164338,370.2936167,51.97221055,39.26149399,7.124838693,0.292,0.13,0.422,0.012,0.341,0.353,208.2069044,3.425294482,78.98359698,0.948593,13.65150342,0.30480167
2019-03-26,1,0.437,1.478,43.14,29.1935,754.1385,29.3207,92.1137,0.908,5415,4329,172,0.388797283,1.985675584,4.54517861,23.29793971,22.5289966,0.301562957,22.75831396,22.92318933,0.356343325,0.277821743,4.66,0.46,10.1243,1.690298927,0.09789969,1.788198617,0.151706133,1.303644049,1.455350182,3.073496901,381.8746819,35.19425096,408.2757011,71.72682592,25.16549928,5.692092126,0.437,0.118,0.555,0.025,0.244,0.269,273.8266159,3.836522176,107.5326518,1.291467148,17.25717391,0.481277533
2019-03-26,6,0.36,1.257,38.676,30.7662,659.0783,25.4983,80.1054,0.815,4314,3500,127,0.38687816,1.357303582,2.221292284,26.12306071,23.0259305,0.397303993,23.78260054,23.61349613,0.378529492,0.364290306,5.66,0.51,11.0423,4.67485674,0.556960125,5.231816865,-0.524480988,1.173243498,0.648762509,-0.416951307,373.6571521,48.34927909,506.1782087,92.82051221,35.69849293,5.453301179,0.36,0.072,0.432,0.034,0.103,0.137,213.1407173,2.091290415,40.90589256,0.49127977,18.30773056,0.441717791
2019-03-27,4,0.175,0.836,39.816,47.6319,413.6616,13.9703,43.8889,0.373,4110,1926,74,0.337722912,1.180111368,9.057101284,26.29044733,23.8854516,0.153000738,23.95104608,23.99606738,0.333954536,0.306704908,4.8,0.42,11.3471,1.89698541,-0.023781112,1.873204297,-0.091037912,1.139276203,1.048238291,1.378433771,765.0085277,56.31303298,249.6677189,62.7536293,23.39877298,3.97853832,0.175,0.092,0.267,0.023,0.033,0.056,131.7328044,8.891459581,103.0853392,1.238054924,23.63780571,0.469168901
2019-03-27,1,0.542,1.367,44.704,32.6982,663.2051,28.9506,90.9509,0.998,6131,2851,130,0.436525594,1.564966558,2.559366249,23.48666871,22.62978413,0.306014092,22.82041483,22.96030658,0.361041281,0.278798254,5,0.48,10.4088,22.80531361,0.330610708,23.13592432,-2.973316332,2.253261717,-0.720054615,0.579201895,373.5592673,35.66127019,467.1967286,81.70545328,39.0018493,5.718060545,0.542,0.209,0.751,0.021,0.246,0.267,370.5293488,2.301603663,81.93487475,0.984037846,12.23625646,0.543086172
