"","date","depth","treatment","plot","variable2","value"
"90",2018-08-30,"0-10","C",1,"moisture",0.419186790277778
"91",2018-08-31,"0-10","C",1,"moisture",0.410438875
"92",2018-09-01,"0-10","C",1,"moisture",0.394508552777778
"93",2018-09-02,"0-10","C",1,"moisture",0.389467818055556
"94",2018-09-03,"0-10","C",1,"moisture",0.409069655555556
"95",2018-09-04,"0-10","C",1,"moisture",0.4073481375
"96",2018-09-05,"0-10","C",1,"moisture",0.399865030555556
"97",2018-09-06,"0-10","C",1,"moisture",0.385731706944444
"98",2018-09-07,"0-10","C",1,"moisture",0.3691036875
"99",2018-09-08,"0-10","C",1,"moisture",0.353044673611111
"100",2018-09-09,"0-10","C",1,"moisture",0.334748840277778
"101",2018-09-10,"0-10","C",1,"moisture",0.312308559722222
"102",2018-09-11,"0-10","C",1,"moisture",0.291496755555556
"103",2018-09-12,"0-10","C",1,"moisture",0.2809041625
"104",2018-09-13,"0-10","C",1,"moisture",0.291125454166667
"105",2018-09-14,"0-10","C",1,"moisture",0.348729619444444
"106",2018-09-15,"0-10","C",1,"moisture",0.407385405555556
"107",2018-09-16,"0-10","C",1,"moisture",0.395445594444444
"108",2018-09-17,"0-10","C",1,"moisture",0.379727538888889
"109",2018-09-18,"0-10","C",1,"moisture",0.377384711111111
"110",2018-09-19,"0-10","C",1,"moisture",0.370248601388889
"111",2018-09-20,"0-10","C",1,"moisture",0.400283552777778
"112",2018-09-21,"0-10","C",1,"moisture",0.385219205555556
"113",2018-09-22,"0-10","C",1,"moisture",0.368075920833333
"114",2018-09-23,"0-10","C",1,"moisture",0.3576865625
"115",2018-09-24,"0-10","C",1,"moisture",0.347590502777778
"116",2018-09-25,"0-10","C",1,"moisture",0.401307391666667
"117",2018-09-26,"0-10","C",1,"moisture",0.407339109722222
"118",2018-09-27,"0-10","C",1,"moisture",0.391520594444444
"119",2018-09-28,"0-10","C",1,"moisture",0.412950445833333
"120",2018-09-29,"0-10","C",1,"moisture",0.438230411594203
"121",2018-09-30,"0-10","C",1,"moisture",0.413988179166667
"122",2018-10-01,"0-10","C",1,"moisture",0.399680770833333
"123",2018-10-02,"0-10","C",1,"moisture",0.391907165277778
"124",2018-10-03,"0-10","C",1,"moisture",0.382776843055556
"125",2018-10-04,"0-10","C",1,"moisture",0.3870425875
"126",2018-10-05,"0-10","C",1,"moisture",0.409474142028986
"127",2018-10-06,"0-10","C",1,"moisture",0.421536330555556
"128",2018-10-07,"0-10","C",1,"moisture",0.423793505555556
"129",2018-10-08,"0-10","C",1,"moisture",0.416932627777778
"130",2018-10-09,"0-10","C",1,"moisture",0.425626836111111
"131",2018-10-10,"0-10","C",1,"moisture",0.427653229166667
"132",2018-10-11,"0-10","C",1,"moisture",0.412949295833333
"133",2018-10-12,"0-10","C",1,"moisture",0.423237247222222
"134",2018-10-13,"0-10","C",1,"moisture",0.435247088405797
"135",2018-10-14,"0-10","C",1,"moisture",0.425743275
"136",2018-10-15,"0-10","C",1,"moisture",0.447519062318841
"137",2018-10-16,"0-10","C",1,"moisture",0.428275220833333
"138",2018-10-17,"0-10","C",1,"moisture",0.431123595833333
"139",2018-10-18,"0-10","C",1,"moisture",0.421003693055556
"140",2018-10-19,"0-10","C",1,"moisture",0.424346511111111
"141",2018-10-20,"0-10","C",1,"moisture",0.413830769444444
"142",2018-10-21,"0-10","C",1,"moisture",0.410868738888889
"143",2018-10-22,"0-10","C",1,"moisture",0.419349293055556
"144",2018-10-23,"0-10","C",1,"moisture",0.435982163888889
"145",2018-10-24,"0-10","C",1,"moisture",0.425286794444444
"146",2018-10-25,"0-10","C",1,"moisture",0.417648831944444
"147",2018-10-26,"0-10","C",1,"moisture",0.411205313888889
"148",2018-10-27,"0-10","C",1,"moisture",0.401547909722222
"149",2018-10-28,"0-10","C",1,"moisture",0.388359247222222
"150",2018-10-29,"0-10","C",1,"moisture",0.377701147222222
"151",2018-10-30,"0-10","C",1,"moisture",0.367277306944444
"152",2018-10-31,"0-10","C",1,"moisture",0.354620601388889
"153",2018-11-01,"0-10","C",1,"moisture",0.341898611111111
"154",2018-11-02,"0-10","C",1,"moisture",0.366043040277778
"155",2018-11-03,"0-10","C",1,"moisture",0.370481243055556
"156",2018-11-04,"0-10","C",1,"moisture",0.441843896825397
"157",2018-11-05,"0-10","C",1,"moisture",0.444896946969697
"158",2018-11-06,"0-10","C",1,"moisture",0.436107388888889
"159",2018-11-07,"0-10","C",1,"moisture",0.428781936111111
"160",2018-11-08,"0-10","C",1,"moisture",0.431282842028986
"161",2018-11-09,"0-10","C",1,"moisture",0.424005302777778
"162",2018-11-10,"0-10","C",1,"moisture",0.427610631944444
"163",2018-11-11,"0-10","C",1,"moisture",0.441311552777778
"164",2018-11-12,"0-10","C",1,"moisture",0.439643276388889
"165",2018-11-13,"0-10","C",1,"moisture",0.436006927777778
"166",2018-11-14,"0-10","C",1,"moisture",0.443872438888889
"167",2018-11-15,"0-10","C",1,"moisture",0.437649525
"168",2018-11-16,"0-10","C",1,"moisture",0.440076797101449
"169",2018-11-17,"0-10","C",1,"moisture",0.438312022222222
"170",2018-11-18,"0-10","C",1,"moisture",0.427171518055556
"171",2018-11-19,"0-10","C",1,"moisture",0.417527997222222
"172",2018-11-20,"0-10","C",1,"moisture",0.405684022222222
"173",2018-11-21,"0-10","C",1,"moisture",0.417304848611111
"174",2018-11-22,"0-10","C",1,"moisture",0.405835634722222
"175",2018-11-23,"0-10","C",1,"moisture",0.395053697222222
"176",2018-11-24,"0-10","C",1,"moisture",0.384287720833333
"177",2018-11-25,"0-10","C",1,"moisture",0.373669898611111
"178",2018-11-26,"0-10","C",1,"moisture",0.363365506944444
"179",2018-11-27,"0-10","C",1,"moisture",0.353487727777778
"180",2018-11-28,"0-10","C",1,"moisture",0.341707631944444
"181",2018-11-29,"0-10","C",1,"moisture",0.326919670833333
"182",2018-11-30,"0-10","C",1,"moisture",0.315413883333333
"183",2018-12-01,"0-10","C",1,"moisture",0.308560648611111
"184",2018-12-02,"0-10","C",1,"moisture",0.3001604125
"185",2018-12-03,"0-10","C",1,"moisture",0.311956473611111
"186",2018-12-04,"0-10","C",1,"moisture",0.333955783333333
"187",2018-12-05,"0-10","C",1,"moisture",0.345228698611111
"188",2018-12-06,"0-10","C",1,"moisture",0.343449766666667
"189",2018-12-07,"0-10","C",1,"moisture",0.344487033333333
"190",2018-12-08,"0-10","C",1,"moisture",0.3881115625
"191",2018-12-09,"0-10","C",1,"moisture",0.394733323611111
"192",2018-12-10,"0-10","C",1,"moisture",0.389956476388889
"193",2018-12-11,"0-10","C",1,"moisture",0.388022675
"194",2018-12-12,"0-10","C",1,"moisture",0.380726381944444
"195",2018-12-13,"0-10","C",1,"moisture",0.370690041666667
"196",2018-12-14,"0-10","C",1,"moisture",0.382623834722222
"197",2018-12-15,"0-10","C",1,"moisture",0.383964806944444
"198",2018-12-16,"0-10","C",1,"moisture",0.389303
"199",2018-12-17,"0-10","C",1,"moisture",0.392270120833333
"200",2018-12-18,"0-10","C",1,"moisture",0.382577534722222
"201",2018-12-19,"0-10","C",1,"moisture",0.387187719444444
"202",2018-12-20,"0-10","C",1,"moisture",0.412328227777778
"203",2018-12-21,"0-10","C",1,"moisture",0.399513883333333
"204",2018-12-22,"0-10","C",1,"moisture",0.404057625
"205",2018-12-23,"0-10","C",1,"moisture",0.417538181944444
"206",2018-12-24,"0-10","C",1,"moisture",0.422187025
"207",2018-12-25,"0-10","C",1,"moisture",0.418623366666667
"208",2018-12-26,"0-10","C",1,"moisture",0.412557626388889
"209",2018-12-27,"0-10","C",1,"moisture",0.415606463888889
"210",2018-12-28,"0-10","C",1,"moisture",0.435920590277778
"211",2018-12-29,"0-10","C",1,"moisture",0.430713179166667
"212",2018-12-30,"0-10","C",1,"moisture",0.421593972222222
"213",2018-12-31,"0-10","C",1,"moisture",0.409087483333333
"214",2019-01-01,"0-10","C",1,"moisture",0.397909479166667
"215",2019-01-02,"0-10","C",1,"moisture",0.388648605555556
"216",2019-01-03,"0-10","C",1,"moisture",0.378432401388889
"217",2019-01-04,"0-10","C",1,"moisture",0.368444673611111
"218",2019-01-05,"0-10","C",1,"moisture",0.358685877777778
"219",2019-01-06,"0-10","C",1,"moisture",0.359131016666667
"220",2019-01-07,"0-10","C",1,"moisture",0.3598157375
"221",2019-01-08,"0-10","C",1,"moisture",0.352597451388889
"222",2019-01-09,"0-10","C",1,"moisture",0.352375923611111
"223",2019-01-10,"0-10","C",1,"moisture",0.358279861111111
"224",2019-01-11,"0-10","C",1,"moisture",0.353153472222222
"225",2019-01-12,"0-10","C",1,"moisture",0.343719211111111
"226",2019-01-13,"0-10","C",1,"moisture",0.362044663888889
"227",2019-01-14,"0-10","C",1,"moisture",0.356647915277778
"228",2019-01-15,"0-10","C",1,"moisture",0.343187036111111
"229",2019-01-16,"0-10","C",1,"moisture",0.337581477777778
"230",2019-01-17,"0-10","C",1,"moisture",0.424834244444444
"231",2019-01-18,"0-10","C",1,"moisture",0.419089341666667
"232",2019-01-19,"0-10","C",1,"moisture",0.405663415277778
"233",2019-01-20,"0-10","C",1,"moisture",0.393787722222222
"234",2019-01-21,"0-10","C",1,"moisture",0.395170130555556
"235",2019-01-22,"0-10","C",1,"moisture",0.424936558333333
"236",2019-01-23,"0-10","C",1,"moisture",0.418546279166667
"237",2019-01-24,"0-10","C",1,"moisture",0.423440497222222
"238",2019-01-25,"0-10","C",1,"moisture",0.432031631884058
"239",2019-01-26,"0-10","C",1,"moisture",0.421970355555556
"240",2019-01-27,"0-10","C",1,"moisture",0.410602070833333
"241",2019-01-28,"0-10","C",1,"moisture",0.398689577777778
"242",2019-01-29,"0-10","C",1,"moisture",0.385200226388889
"243",2019-01-30,"0-10","C",1,"moisture",0.373049530555556
"244",2019-01-31,"0-10","C",1,"moisture",0.395817122222222
"245",2019-02-01,"0-10","C",1,"moisture",0.400009018055556
"246",2019-02-02,"0-10","C",1,"moisture",0.392393283333333
"247",2019-02-03,"0-10","C",1,"moisture",0.389268972222222
"248",2019-02-04,"0-10","C",1,"moisture",0.401471747222222
"249",2019-02-05,"0-10","C",1,"moisture",0.392838194444444
"250",2019-02-06,"0-10","C",1,"moisture",0.385916895833333
"251",2019-02-07,"0-10","C",1,"moisture",0.377517355555556
"252",2019-02-08,"0-10","C",1,"moisture",0.365488190277778
"253",2019-02-09,"0-10","C",1,"moisture",0.394787022222222
"254",2019-02-10,"0-10","C",1,"moisture",0.399825222222222
"255",2019-02-11,"0-10","C",1,"moisture",0.3963310125
"256",2019-02-12,"0-10","C",1,"moisture",0.393606472222222
"257",2019-02-13,"0-10","C",1,"moisture",0.381099993055556
"258",2019-02-14,"0-10","C",1,"moisture",0.389166195833333
"259",2019-02-15,"0-10","C",1,"moisture",0.382181006944444
"260",2019-02-16,"0-10","C",1,"moisture",0.372825227777778
"261",2019-02-17,"0-10","C",1,"moisture",0.360565275
"262",2019-02-18,"0-10","C",1,"moisture",0.347144904166667
"263",2019-02-19,"0-10","C",1,"moisture",0.335846059722222
"264",2019-02-20,"0-10","C",1,"moisture",0.345850452777778
"265",2019-02-21,"0-10","C",1,"moisture",0.359374991666667
"266",2019-02-22,"0-10","C",1,"moisture",0.3458766125
"267",2019-02-23,"0-10","C",1,"moisture",0.333207170833333
"268",2019-02-24,"0-10","C",1,"moisture",0.318729394444444
"269",2019-02-25,"0-10","C",1,"moisture",0.305415043055556
"270",2019-02-26,"0-10","C",1,"moisture",0.295435643055556
"271",2019-02-27,"0-10","C",1,"moisture",0.358229390277778
"272",2019-02-28,"0-10","C",1,"moisture",0.364665734722222
"273",2019-03-01,"0-10","C",1,"moisture",0.350561566666667
"274",2019-03-02,"0-10","C",1,"moisture",0.333385643055556
"275",2019-03-03,"0-10","C",1,"moisture",0.312900690277778
"276",2019-03-04,"0-10","C",1,"moisture",0.341716197222222
"277",2019-03-05,"0-10","C",1,"moisture",0.355275456944444
"278",2019-03-06,"0-10","C",1,"moisture",0.337935873611111
"279",2019-03-07,"0-10","C",1,"moisture",0.325446294444444
"280",2019-03-08,"0-10","C",1,"moisture",0.3129942125
"281",2019-03-09,"0-10","C",1,"moisture",0.345897447222222
"282",2019-03-10,"0-10","C",1,"moisture",0.363094901388889
"283",2019-03-11,"0-10","C",1,"moisture",0.374336797222222
"284",2019-03-12,"0-10","C",1,"moisture",0.361384943055556
"285",2019-03-13,"0-10","C",1,"moisture",0.3467988375
"286",2019-03-14,"0-10","C",1,"moisture",0.331142356944444
"287",2019-03-15,"0-10","C",1,"moisture",0.313666659722222
"288",2019-03-16,"0-10","C",1,"moisture",0.298263422222222
"289",2019-03-17,"0-10","C",1,"moisture",0.281280083333333
"290",2019-03-18,"0-10","C",1,"moisture",0.2697925875
"291",2019-03-19,"0-10","C",1,"moisture",0.258634020833333
"292",2019-03-20,"0-10","C",1,"moisture",0.257559713888889
"293",2019-03-21,"0-10","C",1,"moisture",0.252287033333333
"294",2019-03-22,"0-10","C",1,"moisture",0.281150458333333
"295",2019-03-23,"0-10","C",1,"moisture",0.344281709722222
"296",2019-03-24,"0-10","C",1,"moisture",0.3611194375
"297",2019-03-25,"0-10","C",1,"moisture",0.364499990277778
"298",2019-03-26,"0-10","C",1,"moisture",0.345024533333333
"299",2019-03-27,"0-10","C",1,"moisture",0.325791430555556
"300",2019-03-28,"0-10","C",1,"moisture",0.305927308333333
"301",2019-03-29,"0-10","C",1,"moisture",0.284157173611111
"302",2019-03-30,"0-10","C",1,"moisture",0.267006945833333
"303",2019-03-31,"0-10","C",1,"moisture",0.2543729125
"304",2019-04-01,"0-10","C",1,"moisture",0.247218515277778
"305",2019-04-02,"0-10","C",1,"moisture",0.276409019444444
"306",2019-04-03,"0-10","C",1,"moisture",0.270999995833333
"307",2019-04-04,"0-10","C",1,"moisture",0.260449998611111
"308",2019-04-05,"0-10","C",1,"moisture",0.250589579166667
"309",2019-04-06,"0-10","C",1,"moisture",0.242807401388889
"310",2019-04-07,"0-10","C",1,"moisture",0.235724298611111
"311",2019-04-08,"0-10","C",1,"moisture",0.227449533333333
"312",2019-04-09,"0-10","C",1,"moisture",0.221742823611111
"313",2019-04-10,"0-10","C",1,"moisture",0.228847679166667
"314",2019-04-11,"0-10","C",1,"moisture",0.244189338888889
"315",2019-04-12,"0-10","C",1,"moisture",0.274439348611111
"316",2019-04-13,"0-10","C",1,"moisture",0.261649068055556
"317",2019-04-14,"0-10","C",1,"moisture",0.253894211111111
"318",2019-04-15,"0-10","C",1,"moisture",0.246124070833333
"319",2019-04-16,"0-10","C",1,"moisture",0.239351618055556
"320",2019-04-17,"0-10","C",1,"moisture",0.236937272222222
"321",2019-04-18,"0-10","C",1,"moisture",0.231904398611111
"322",2019-04-19,"0-10","C",1,"moisture",0.221564581944444
"323",2019-04-20,"0-10","C",1,"moisture",0.212338190277778
"324",2019-04-21,"0-10","C",1,"moisture",0.211892355555556
"325",2019-04-22,"0-10","C",1,"moisture",0.244955316666667
"326",2019-04-23,"0-10","C",1,"moisture",0.259843702222222
"327",2017-02-14,"20-30","C",1,"moisture",0.408777149444444
"328",2017-02-27,"20-30","C",1,"moisture",0.375667401923077
"329",2017-03-13,"20-30","C",1,"moisture",0.407291286607143
"330",2017-03-24,"20-30","C",1,"moisture",0.413621655092593
"331",2017-04-13,"20-30","C",1,"moisture",0.420286334166667
"332",2017-05-06,"20-30","C",1,"moisture",0.430942396323529
"333",2017-05-23,"20-30","C",1,"moisture",0.388842196111111
"334",2017-06-09,"20-30","C",1,"moisture",0.422412272708333
"335",2017-06-26,"20-30","C",1,"moisture",0.424118533928571
"336",2017-07-11,"20-30","C",1,"moisture",0.429547374166667
"337",2017-07-24,"20-30","C",1,"moisture",0.413417388782051
"338",2017-08-06,"20-30","C",1,"moisture",0.430572968589744
"339",2017-08-22,"20-30","C",1,"moisture",0.439072522453704
"340",2017-09-21,"20-30","C",1,"moisture",0.443369036011905
"341",2017-10-20,"20-30","C",1,"moisture",0.439229543888889
"342",2017-11-05,"20-30","C",1,"moisture",0.443542904166667
"343",2017-11-22,"20-30","C",1,"moisture",0.44134628709073
"344",2017-12-05,"20-30","C",1,"moisture",0.438371681410256
"345",2017-12-20,"20-30","C",1,"moisture",0.432522793055556
"346",2018-01-03,"20-30","C",1,"moisture",0.442699397619048
"347",2018-01-18,"20-30","C",1,"moisture",0.447591596649138
"348",2018-01-31,"20-30","C",1,"moisture",0.442488464423077
"349",2018-02-15,"20-30","C",1,"moisture",0.442533668333333
"350",2018-02-27,"20-30","C",1,"moisture",0.44684587875
"351",2018-03-16,"20-30","C",1,"moisture",0.394588612657142
"352",2018-04-04,"20-30","C",1,"moisture",0.385675757324017
"353",2018-04-18,"20-30","C",1,"moisture",0.403962302083333
"354",2018-05-02,"20-30","C",1,"moisture",0.425902956845238
"355",2018-05-16,"20-30","C",1,"moisture",0.398121358796296
"356",2018-05-30,"20-30","C",1,"moisture",0.387074135582011
"357",2018-06-14,"20-30","C",1,"moisture",0.356543233333333
"358",2018-06-27,"20-30","C",1,"moisture",0.403221116666667
"359",2018-07-04,"20-30","C",1,"moisture",0.3397646
"360",2018-07-05,"20-30","C",1,"moisture",0.326939116666667
"361",2018-07-06,"20-30","C",1,"moisture",0.318229354166667
"362",2018-07-07,"20-30","C",1,"moisture",0.311526891666667
"363",2018-07-08,"20-30","C",1,"moisture",0.308657775
"364",2018-07-09,"20-30","C",1,"moisture",0.375123025
"365",2018-07-10,"20-30","C",1,"moisture",0.423395804166667
"366",2018-07-11,"20-30","C",1,"moisture",0.408417265217391
"367",2018-07-12,"20-30","C",1,"moisture",0.400811816666667
"368",2018-07-13,"20-30","C",1,"moisture",0.393331054166667
"369",2018-07-14,"20-30","C",1,"moisture",0.384600595833333
"370",2018-07-15,"20-30","C",1,"moisture",0.393083991666667
"371",2018-07-16,"20-30","C",1,"moisture",0.424815966666667
"372",2018-07-17,"20-30","C",1,"moisture",0.414862375
"373",2018-07-18,"20-30","C",1,"moisture",0.4115313625
"374",2018-07-19,"20-30","C",1,"moisture",0.422312275
"375",2018-07-20,"20-30","C",1,"moisture",0.416247304166667
"376",2018-07-21,"20-30","C",1,"moisture",0.408437579166667
"377",2018-07-22,"20-30","C",1,"moisture",0.400792666666667
"378",2018-07-23,"20-30","C",1,"moisture",0.394418479166667
"379",2018-07-24,"20-30","C",1,"moisture",0.400780266666667
"380",2018-07-25,"20-30","C",1,"moisture",0.402529116666667
"381",2018-07-26,"20-30","C",1,"moisture",0.415543475
"382",2018-07-27,"20-30","C",1,"moisture",0.413945475
"383",2018-07-28,"20-30","C",1,"moisture",0.4049542875
"384",2018-07-29,"20-30","C",1,"moisture",0.3963186375
"385",2018-07-30,"20-30","C",1,"moisture",0.388067558333333
"386",2018-07-31,"20-30","C",1,"moisture",0.380854016666667
"387",2018-08-01,"20-30","C",1,"moisture",0.378695654166667
"388",2018-08-02,"20-30","C",1,"moisture",0.4127710875
"389",2018-08-03,"20-30","C",1,"moisture",0.400245283333333
"390",2018-08-04,"20-30","C",1,"moisture",0.392318016666667
"391",2018-08-05,"20-30","C",1,"moisture",0.385991041666667
"392",2018-08-06,"20-30","C",1,"moisture",0.38088235
"393",2018-08-07,"20-30","C",1,"moisture",0.373204625
"394",2018-08-08,"20-30","C",1,"moisture",0.362638420833333
"395",2018-08-09,"20-30","C",1,"moisture",0.348656345833333
"396",2018-08-10,"20-30","C",1,"moisture",0.3343522375
"397",2018-08-11,"20-30","C",1,"moisture",0.3221266625
"398",2018-08-12,"20-30","C",1,"moisture",0.323634245833333
"399",2018-08-13,"20-30","C",1,"moisture",0.334925058333333
"400",2018-08-14,"20-30","C",1,"moisture",0.345043920833333
"401",2018-08-15,"20-30","C",1,"moisture",0.34378775
"402",2018-08-16,"20-30","C",1,"moisture",0.370275425
"403",2018-08-17,"20-30","C",1,"moisture",0.416246020833333
"404",2018-08-18,"20-30","C",1,"moisture",0.414029054166667
"405",2018-08-19,"20-30","C",1,"moisture",0.402217645833333
"406",2018-08-20,"20-30","C",1,"moisture",0.3924499375
"407",2018-08-21,"20-30","C",1,"moisture",0.387963670833333
"408",2018-08-22,"20-30","C",1,"moisture",0.403953508333333
"409",2018-08-23,"20-30","C",1,"moisture",0.425441504166667
"410",2018-08-24,"20-30","C",1,"moisture",0.424603366666667
"411",2018-08-25,"20-30","C",1,"moisture",0.411998354166667
"412",2018-08-26,"20-30","C",1,"moisture",0.4067101375
"413",2018-08-27,"20-30","C",1,"moisture",0.400825479166667
"414",2018-08-28,"20-30","C",1,"moisture",0.419229158333333
"415",2018-08-29,"20-30","C",1,"moisture",0.433517825
"416",2018-08-30,"20-30","C",1,"moisture",0.428528245833333
"417",2018-08-31,"20-30","C",1,"moisture",0.420980545833333
"418",2018-09-01,"20-30","C",1,"moisture",0.412162608333333
"419",2018-09-02,"20-30","C",1,"moisture",0.408217941666667
"420",2018-09-03,"20-30","C",1,"moisture",0.423071595833333
"421",2018-09-04,"20-30","C",1,"moisture",0.4225092375
"422",2018-09-05,"20-30","C",1,"moisture",0.4146800875
"423",2018-09-06,"20-30","C",1,"moisture",0.408706166666667
"424",2018-09-07,"20-30","C",1,"moisture",0.402873345833333
"425",2018-09-08,"20-30","C",1,"moisture",0.397141783333333
"426",2018-09-09,"20-30","C",1,"moisture",0.3889943625
"427",2018-09-10,"20-30","C",1,"moisture",0.377719741666667
"428",2018-09-11,"20-30","C",1,"moisture",0.364497054166667
"429",2018-09-12,"20-30","C",1,"moisture",0.3521865
"430",2018-09-13,"20-30","C",1,"moisture",0.361060379166667
"431",2018-09-14,"20-30","C",1,"moisture",0.390998891666667
"432",2018-09-15,"20-30","C",1,"moisture",0.4234411375
"433",2018-09-16,"20-30","C",1,"moisture",0.414053233333333
"434",2018-09-17,"20-30","C",1,"moisture",0.406639625
"435",2018-09-18,"20-30","C",1,"moisture",0.406544516666667
"436",2018-09-19,"20-30","C",1,"moisture",0.402606304166667
"437",2018-09-20,"20-30","C",1,"moisture",0.420147825
"438",2018-09-21,"20-30","C",1,"moisture",0.410237720833333
